Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
DELL,2025-08-29,SPY,XLK,,LR,0.625,0.02,0.6557763288514853,1,0.01872651383918331,0.01772651383918331
XYZ,2025-08-29,SPY,XLY,,LR,0.55,0.1,0.2821092824187197,-1,-0.013317848126430918,0.012317848126430917
GEHC,2025-08-29,SPY,XLB,,LR,0.65,0.1,0.2634381248141459,-1,-0.010769561573321138,0.009769561573321137
INVH,2025-08-29,SPY,XLRE,MDY,LR,0.625,0.06,0.4816419454120938,-1,-0.005592356241130088,0.004592356241130088
DASH,2025-08-29,SPY,XLY,,LR,0.55,0.06,0.657488342783552,1,0.005310937623065319,0.004310937623065319
CRWD,2025-08-29,SPY,XLK,,LR,0.65,0.02,0.23021880288687338,-1,-0.0019965524566229655,0.0009965524566229655
LW,2025-08-29,SPY,XLV,MDY,LR,0.65,0.02,0.49811580451544346,-1,-0.001771485944636825,0.0007714859446368251
CEG,2025-08-29,SPY,XLK,,LR,0.65,0.1,0.6759971076924085,0,0.017830806956791213,0.0
APP,2025-08-29,SPY,XLC,,LR,0.55,0.1,0.6060409678538659,0,0.027357468439648723,0.0
VST,2025-08-29,SPY,XLK,,RF,0.575,0.06,0.5242190854987476,0,-0.0015874946736619024,-0.0
PLTR,2025-08-29,SPY,XLY,,LR,0.55,0.04,0.5205992005967763,0,0.01882498605291531,0.0
HWM,2025-08-29,SPY,XLI,MDY,RF,0.55,0.06,0.526041037172899,0,0.0018768671547739692,0.0
HOOD,2025-08-29,SPY,XLY,,RF,0.55,0.1,0.4904713164306927,0,-0.009053821858711345,-0.0
HPE,2025-08-29,SPY,XLK,MDY,LR,0.65,0.02,0.6500950654496815,0,0.03803911477043393,0.0
ABNB,2025-08-29,SPY,XLY,,RF,0.55,0.04,0.5291748777035071,0,-0.003400070045773196,-0.0
FOX,2025-08-29,SPY,XLF,MDY,LR,0.575,0.08,0.5506281106057782,0,0.03824860164530848,0.0
OTIS,2025-08-29,SPY,XLI,MDY,RF,0.575,0.04,0.4628091912674291,-1,0.0007946979125518264,-0.0017946979125518265
TTD,2025-08-29,SPY,XLY,,LR,0.55,0.08,0.371344739660646,-1,0.002272801452027881,-0.003272801452027881
VICI,2025-08-29,SPY,XLRE,MDY,LR,0.575,0.02,0.3290730993286556,-1,0.006437343471641965,-0.007437343471641965
VLTO,2025-08-29,SPY,XLI,MDY,RF,0.575,0.04,0.44923190252432094,-1,0.006438964021482793,-0.007438964021482793
CTVA,2025-08-29,SPY,XLB,MDY,LR,0.55,0.04,0.4007996276258603,-1,0.00653779276986107,-0.00753779276986107
UBER,2025-08-29,SPY,XLI,MDY,LR,0.55,0.08,0.30293798055165927,-1,0.008124451288976155,-0.009124451288976154
CARR,2025-08-29,SPY,XLI,MDY,LR,0.55,0.04,0.48969733011140915,-1,0.01031007793665812,-0.01131007793665812
KVUE,2025-08-29,SPY,XLP,MDY,RF,0.65,0.02,0.4379628795070191,-1,0.012069669653045196,-0.013069669653045197
DAY,2025-08-29,SPY,XLY,,LR,0.575,0.04,0.33362925506818314,-1,0.012816909843868587,-0.013816909843868588
EXE,2025-08-29,SPY,XLE,MDY,RF,0.55,0.1,0.44923752387965776,-1,0.013259106308995745,-0.014259106308995746
DDOG,2025-08-29,SPY,XLK,,LR,0.6,0.1,0.37078986573950234,-1,0.014223861063128928,-0.015223861063128927
FTV,2025-08-29,SPY,XLI,MDY,RF,0.65,0.02,0.5504514523205222,-1,0.014920448231425782,-0.01592044823142578
MRNA,2025-08-29,SPY,XLV,,RF,0.55,0.06,0.44806622461429674,-1,0.018203364094570837,-0.019203364094570838
IR,2025-08-29,SPY,XLI,MDY,RF,0.625,0.04,0.5360656182484502,-1,0.02814956724498692,-0.02914956724498692
DOW,2025-08-29,SPY,XLB,MDY,RF,0.625,0.06,0.5118360526042819,-1,0.03090633941991968,-0.03190633941991968
COIN,2025-08-29,SPY,XLY,,RF,0.55,0.08,0.4550713014751306,-1,0.035585868219306246,-0.03658586821930625
FOXA,2025-08-29,SPY,XLF,MDY,LR,0.575,0.08,0.4510094976766897,-1,0.04001554575566656,-0.04101554575566656
