Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
SATS,2025-07-31,SPY,XLF,MDY,RF,0.65,0.02,0.5180772990885686,-1,-0.10767526606486871,0.10667526606486871
RGA,2025-07-31,SPY,XLF,MDY,RF,0.65,0.1,0.5219303061516871,-1,-0.016438032339545133,0.015438032339545132
CVLT,2025-07-31,SPY,XLK,MDY,LR,0.625,0.04,0.5048098352504251,-1,-0.010891527729368666,0.009891527729368667
G,2025-07-31,SPY,XLI,,RF,0.65,0.02,0.5242634855677092,-1,-0.008875693392767172,0.007875693392767173
AR,2025-07-31,SPY,XLE,MDY,LR,0.575,0.04,0.44997796102642446,-1,-0.007188287085055418,0.006188287085055418
PLNT,2025-07-31,SPY,XLI,MDY,LR,0.625,0.06,0.4164655822635162,-1,-0.0035167741714594056,0.0025167741714594055
WING,2025-07-31,SPY,XLY,,LR,0.55,0.04,0.32486962839951367,-1,-0.0033987484049773746,0.0023987484049773746
WU,2025-07-31,SPY,XLB,,LR,0.575,0.1,0.615752474528177,0,0.015369806236756012,0.0
FAF,2025-07-31,SPY,XLRE,MDY,LR,0.65,0.02,0.6556415960176668,0,0.03410005712714023,0.0
PRI,2025-07-31,SPY,XLF,MDY,RF,0.55,0.06,0.5712836889385008,0,0.02838365284334749,0.0
POST,2025-07-31,SPY,XLP,MDY,LR,0.65,0.08,0.5727737431648807,0,0.0025295273225178242,0.0
FN,2025-07-31,SPY,XLK,,RF,0.55,0.1,0.5387355500890628,0,0.030216975367344003,0.0
GWRE,2025-07-31,SPY,XLK,,RF,0.575,0.08,0.523538416980582,0,-0.007744744084797287,-0.0
PEN,2025-07-31,SPY,XLY,,RF,0.55,0.06,0.5033140543800504,0,-0.020452818727335877,-0.0
LNTH,2025-07-31,SPY,XLB,MDY,RF,0.575,0.06,0.5551236632016241,0,0.013699212313239457,0.0
HLI,2025-07-31,SPY,XLF,MDY,RF,0.625,0.1,0.5743853266225364,0,0.04658827385986324,0.0
