Scenario,Ticker,MeanNetPnL,MedianNetPnL,Trades,Dates,NonFlatHit,Suite
sp400_long,EGP,-0.0017379259611450444,0.0,11,18,0.45454545454545453,QQQ
sp400_long,FHI,-0.001824498606005633,0.0,9,18,0.4444444444444444,QQQ
sp400_long,HXL,-0.0018284836228284948,0.0,5,18,0.2,QQQ
sp400_long,MSA,-0.0018840124928755355,-4.482386502792151e-05,14,18,0.42857142857142855,QQQ
sp400_long,RNR,-0.0019445614219685443,0.0,6,18,0.5,QQQ
sp400_long,SWX,-0.0019477450279234722,0.0010088474684553,16,18,0.5625,QQQ
sp400_long,UNM,-0.0019969323734791056,0.0,7,18,0.42857142857142855,QQQ
sp400_long,RMBS,-0.0020170135573194838,0.0,13,18,0.5384615384615384,QQQ
sp400_long,CRUS,-0.002040524982131366,0.00241193657822395,17,18,0.5882352941176471,QQQ
sp400_long,THG,-0.0021166310635292946,0.0,11,18,0.36363636363636365,QQQ
sp400_long,THC,-0.002150215071383389,0.0,2,18,0.0,QQQ
sp400_long,WTRG,-0.0022220315862123688,-0.00214298215473475,17,18,0.4117647058823529,QQQ
sp400_long,ALE,-0.0022372594484289694,-0.0031967465495959003,16,18,0.3125,QQQ
sp400_long,AIT,-0.002252308825441617,-0.0,10,18,0.4,QQQ
sp400_long,DAR,-0.0022898681390226337,-0.0035997326500825004,18,18,0.4444444444444444,QQQ
sp400_long,RPM,-0.0023954883196556386,0.0012449680312652499,16,18,0.625,QQQ
sp400_long,GT,-0.0024195960672453117,-0.0041094642764916995,16,18,0.375,QQQ
sp400_long,RYN,-0.002491087542433155,-0.00333282311675915,16,18,0.3125,QQQ
sp400_long,DINO,-0.0025427429496841605,0.0,10,18,0.3,QQQ
sp400_long,ELS,-0.0025585689320881946,-0.0005880330307711,15,18,0.4,QQQ
sp400_long,BMRN,-0.002718940667112689,-0.00335122576672025,17,18,0.4117647058823529,QQQ
sp400_long,NNN,-0.0027200936983071723,-0.0007031021485079,17,18,0.47058823529411764,QQQ
sp400_long,TKR,-0.0027360765967448055,-0.0013670268835462,16,18,0.4375,QQQ
sp400_long,SAM,-0.0028070007793958604,-0.00621898476041515,18,18,0.4444444444444444,QQQ
sp400_long,ONB,-0.002816231738263283,0.0,8,18,0.5,QQQ
sp400_long,PPC,-0.0028695755587654108,0.0,7,18,0.2857142857142857,QQQ
sp400_long,SAIA,-0.0028873818970228723,0.0,10,18,0.5,QQQ
sp400_long,WAL,-0.0029020790226603668,0.0,3,18,0.0,QQQ
sp400_long,FR,-0.0029181695071246057,-0.00110848299880635,15,18,0.4,QQQ
sp400_long,RLI,-0.0029831167828759278,0.0,12,18,0.4166666666666667,QQQ
sp400_long,NJR,-0.0030818731106037056,-0.0,15,18,0.4666666666666667,QQQ
sp400_long,MIDD,-0.0030833937365554887,0.0,12,18,0.5,QQQ
sp400_long,VNO,-0.0032662642463605496,0.0,11,18,0.5454545454545454,QQQ
sp400_long,HR,-0.0032735154254456395,0.0,14,18,0.5,QQQ
sp400_long,NYT,-0.0032752887663458994,-0.00289725711050755,16,18,0.375,QQQ
sp400_long,CHH,-0.0033507093395139334,0.0,13,18,0.46153846153846156,QQQ
sp400_long,CMC,-0.0034158282111280943,0.0,8,18,0.375,QQQ
