Date,Suite,N,MeanNetPnL,MedianNetPnL,HitRate,NonFlatHitRate,Scenario
2024-04-30,QQQ,251,-0.0049835360808182,0.0,0.6095617529880478,0.3636363636363636,sp400_long
2024-05-31,QQQ,251,-0.0048105209402516,-0.0,0.6175298804780877,0.4216867469879518,sp400_long
2024-06-28,QQQ,251,-0.0007346986727788,0.0,0.6573705179282868,0.4591194968553459,sp400_long
2024-07-31,QQQ,251,-0.0095904258601595,-0.0007879948040033,0.5139442231075697,0.2988505747126437,sp400_long
2024-08-30,QQQ,251,-0.0213392038778266,-0.0145972693671182,0.4063745019920319,0.1024096385542168,sp400_long
2024-09-30,QQQ,251,-0.0050742880319728,0.0,0.5896414342629482,0.3680981595092024,sp400_long
2024-10-31,QQQ,251,0.0009835938301084,-0.0,0.7211155378486056,0.5977011494252874,sp400_long
2024-11-29,QQQ,251,-0.0026883218401826,0.0,0.5936254980079682,0.4545454545454545,sp400_long
2024-12-31,QQQ,251,-0.0019711747307342,0.0,0.6533864541832669,0.4912280701754385,sp400_long
2025-01-31,QQQ,251,-0.0030004004587669,0.0,0.5697211155378487,0.3647058823529411,sp400_long
2025-02-28,QQQ,251,-0.0138948293603212,-0.0092891035315776,0.4262948207171315,0.1864406779661017,sp400_long
2025-03-31,QQQ,251,0.0046743288767098,-0.0,0.848605577689243,0.7724550898203593,sp400_long
2025-04-30,QQQ,251,0.004904417244576,-0.0,0.8207171314741036,0.7289156626506024,sp400_long
2025-05-30,QQQ,251,0.0093245647814494,0.0081950017784818,0.8764940239043825,0.8472906403940886,sp400_long
2025-06-30,QQQ,251,-0.0087324410804226,-0.0037841551480538,0.4621513944223107,0.2894736842105263,sp400_long
2025-07-31,QQQ,251,-0.0263897795635278,-0.0260878278148766,0.2868525896414343,0.100502512562814,sp400_long
2025-08-29,QQQ,251,-0.0124394823747933,-0.0078822511813901,0.3784860557768924,0.1832460732984293,sp400_long
2025-09-30,QQQ,251,-0.0022122787489933,0.0,0.6135458167330677,0.481283422459893,sp400_long
2024-04-30,SPY,251,-0.0034318070274285,0.0,0.649402390438247,0.3623188405797101,sp400_long
2024-05-31,SPY,251,-0.0066038811368203,0.0,0.5697211155378487,0.3684210526315789,sp400_long
2024-06-28,SPY,251,-0.0014941951785004,0.0,0.6294820717131474,0.4397590361445783,sp400_long
2024-07-31,SPY,251,-0.0152621142048143,-0.0050417194682869,0.4621513944223107,0.1964285714285714,sp400_long
2024-08-30,SPY,251,-0.0274895862075639,-0.0237145002601888,0.3187250996015936,0.0446927374301676,sp400_long
2024-09-30,SPY,251,-0.005813599282894,0.0,0.5298804780876494,0.3407821229050279,sp400_long
2024-10-31,SPY,251,0.0012496852351823,0.0,0.7131474103585658,0.6129032258064516,sp400_long
2024-11-29,SPY,251,-0.0054756903323175,-0.0011639644727105,0.4900398406374502,0.3155080213903743,sp400_long
2024-12-31,SPY,251,-0.0029497701887645,0.0,0.6374501992031872,0.4484848484848485,sp400_long
2025-01-31,SPY,251,-0.0042743039602744,-0.0013542441967624,0.4940239043824701,0.328042328042328,sp400_long
2025-02-28,SPY,251,-0.0150583465537541,-0.0119602474359518,0.398406374501992,0.1657458563535911,sp400_long
2025-03-31,SPY,251,0.0028903357459235,0.0,0.8087649402390438,0.7073170731707317,sp400_long
2025-04-30,SPY,251,0.0030597737738912,-0.0,0.7928286852589641,0.6941176470588235,sp400_long
2025-05-30,SPY,251,0.0086931822925258,0.0078536081971591,0.8804780876494024,0.8492462311557789,sp400_long
2025-06-30,SPY,251,-0.0042553254522319,-0.0,0.5298804780876494,0.3979591836734694,sp400_long
2025-07-31,SPY,251,-0.0299139091217171,-0.0296100438027059,0.2828685258964143,0.1,sp400_long
2025-08-29,SPY,251,-0.0153981322989973,-0.011289670583417,0.3386454183266932,0.1443298969072164,sp400_long
2025-09-30,SPY,251,-0.001364172976978,-0.0,0.6175298804780877,0.5051546391752577,sp400_long
2024-04-30,QQQ,86,0.0002447469085255,0.0,0.7674418604651163,0.4285714285714285,sp400_med
2024-05-31,QQQ,86,-0.0019063619795769,-0.0,0.6627906976744186,0.4423076923076923,sp400_med
2024-06-28,QQQ,86,0.0001561225656988,0.0,0.7325581395348837,0.5576923076923077,sp400_med
2024-07-31,QQQ,86,-0.009746489311557,-0.000325637669696,0.5116279069767442,0.3,sp400_med
2024-08-30,QQQ,86,-0.0221444796084165,-0.0121050469889443,0.4186046511627907,0.1379310344827586,sp400_med
2024-09-30,QQQ,86,-0.0048541558276981,0.0,0.5813953488372093,0.320754716981132,sp400_med
2024-10-31,QQQ,86,0.0011572490255647,0.0,0.7209302325581395,0.5862068965517241,sp400_med
2024-11-29,QQQ,86,-0.0021830899545415,0.0,0.6162790697674418,0.45,sp400_med
2024-12-31,QQQ,86,-0.0002089496459295,0.0,0.6744186046511628,0.4814814814814814,sp400_med
2025-01-31,QQQ,86,-0.000691467886271,-0.0,0.6744186046511628,0.5087719298245614,sp400_med
2025-02-28,QQQ,86,-0.0087782357927132,0.0,0.5348837209302325,0.3220338983050847,sp400_med
2025-03-31,QQQ,86,0.004753386425971,0.0,0.872093023255814,0.7962962962962963,sp400_med
2025-04-30,QQQ,86,0.0033845549747613,0.0010485929626551,0.8372093023255814,0.7704918032786885,sp400_med
2025-05-30,QQQ,86,0.0066093596657816,0.0001462099805435,0.8604651162790697,0.7894736842105263,sp400_med
2025-06-30,QQQ,86,-0.0056220425332388,-0.0004909480134316,0.5116279069767442,0.288135593220339,sp400_med
