Date,Suite,N,MeanNetPnL,MedianNetPnL,HitRate,NonFlatHitRate
2024-04-30,QQQ,30,-0.002072679308887923,0.0,0.6666666666666666,0.4117647058823529
2024-05-31,QQQ,30,-0.0011379133523573188,0.0,0.6666666666666666,0.3333333333333333
2024-06-28,QQQ,30,-0.00044753708431786754,0.0,0.6666666666666666,0.5454545454545454
2024-07-31,QQQ,31,-0.011675201667928277,-0.008297110035615847,0.3225806451612903,0.2222222222222222
2024-08-30,QQQ,31,-0.01806411707722227,-0.012875131268351114,0.3548387096774194,0.13043478260869565
2024-09-30,QQQ,31,-0.007746842520116363,-0.004207812912339014,0.41935483870967744,0.25
2024-10-31,QQQ,31,0.004441905591175165,0.0,0.8387096774193549,0.75
2024-11-29,QQQ,31,0.005671376174897748,0.0023422924387438977,0.6774193548387096,0.6428571428571429
2024-12-31,QQQ,32,-0.01554521026876401,-0.004284376566897769,0.46875,0.2916666666666667
2025-01-31,QQQ,32,-0.007480630963956975,-0.0069445613805334625,0.40625,0.24
2025-02-28,QQQ,32,-0.01923629503026841,-0.011033131896897324,0.375,0.23076923076923078
2025-03-31,QQQ,32,0.00869374158192422,0.004462519862249284,0.90625,0.875
2025-04-30,QQQ,32,0.010168879796417347,0.007776470234722832,0.8125,0.7777777777777778
2025-05-30,QQQ,33,0.0046492631628383815,0.002517092819869124,0.8181818181818182,0.7777777777777778
2025-06-30,QQQ,33,-1.9990384077432032e-05,-0.0,0.6363636363636364,0.45454545454545453
2025-07-31,QQQ,33,-0.008517294301672309,-0.004227266457108896,0.45454545454545453,0.18181818181818182
2025-08-29,QQQ,33,-0.0034597388434726285,-0.0,0.5757575757575758,0.36363636363636365
2025-09-30,QQQ,33,-2.979555460970535e-05,-0.0,0.7272727272727273,0.55
2024-04-30,SPY,30,-0.0009080949293682497,0.0,0.5666666666666667,0.4090909090909091
2024-05-31,SPY,30,8.749692244922706e-05,-0.0021251272258416675,0.5,0.34782608695652173
2024-06-28,SPY,30,-0.0018514247217698916,0.0,0.6333333333333333,0.5
2024-07-31,SPY,31,-0.01281310996608424,-0.011045815782303719,0.3225806451612903,0.16
2024-08-30,SPY,31,-0.02025945892868504,-0.02004057364181956,0.2903225806451613,0.15384615384615385
2024-09-30,SPY,31,-0.006956424506049141,-0.004073119305012131,0.3870967741935484,0.2962962962962963
2024-10-31,SPY,31,0.004165039693910849,0.002758586953439202,0.8387096774193549,0.7727272727272727
2024-11-29,SPY,31,-0.0013934114762959942,-0.0,0.6129032258064516,0.5862068965517241
2024-12-31,SPY,32,-0.018055737208671048,-0.010533597305532893,0.375,0.23076923076923078
2025-01-31,SPY,32,-0.012335655908642116,-0.010834318607200156,0.34375,0.16
2025-02-28,SPY,32,-0.020841630465476164,-0.011778272291138765,0.34375,0.19230769230769232
2025-03-31,SPY,32,0.00628334892208416,0.0006233920935300209,0.78125,0.6956521739130435
2025-04-30,SPY,32,0.005153335489088423,0.009571190438405033,0.625,0.6129032258064516
2025-05-30,SPY,33,0.005768690251315281,0.0033872076833448275,0.8484848484848485,0.8214285714285714
2025-06-30,SPY,33,0.004692616606941041,-0.0,0.6666666666666666,0.5925925925925926
2025-07-31,SPY,33,-0.01342852739306234,-0.015715991699717557,0.3333333333333333,0.18518518518518517
2025-08-29,SPY,33,-0.006896410693446173,-0.0017946979125518265,0.48484848484848486,0.2916666666666667
2025-09-30,SPY,33,0.004389613488084377,0.0,0.7575757575757576,0.6666666666666666
