Date,Suite,N,MeanNetPnL,MedianNetPnL,HitRate,NonFlatHitRate
2024-04-30,QQQ,71,-1.2671808704167105e-05,-0.0,0.676056338028169,0.46511627906976744
2024-05-31,QQQ,71,-0.0013803301641181131,0.0,0.647887323943662,0.4186046511627907
2024-06-28,QQQ,71,-0.0015919736125180118,-0.0,0.7323943661971831,0.5681818181818182
2024-07-31,QQQ,71,-0.006596251568339688,-0.0,0.5492957746478874,0.37254901960784315
2024-08-30,QQQ,71,-0.007768135819616467,0.0,0.5774647887323944,0.25
2024-09-30,QQQ,71,-0.002618409104424657,0.0,0.647887323943662,0.375
2024-10-31,QQQ,71,-0.0012335553289299294,-0.0,0.704225352112676,0.4
2024-11-29,QQQ,71,-0.001928301397607753,-0.0,0.6197183098591549,0.4489795918367347
2024-12-31,QQQ,71,-0.00020509311117162643,0.0,0.7183098591549296,0.5454545454545454
2025-01-31,QQQ,71,-0.0017422730291236123,0.0,0.6338028169014085,0.43478260869565216
2025-02-28,QQQ,71,-0.004946020454618826,-0.0,0.6197183098591549,0.38636363636363635
2025-03-31,QQQ,71,0.0013995918808055777,-0.0,0.8169014084507042,0.6486486486486487
2025-04-30,QQQ,71,0.00680070125075746,-0.0,0.8450704225352113,0.7380952380952381
2025-05-30,QQQ,71,0.0054020326490499615,0.002296818110107685,0.8732394366197183,0.82
2025-06-30,QQQ,71,-0.005554173133563301,-0.0025606889284108345,0.4788732394366197,0.2127659574468085
2025-07-31,QQQ,71,-0.015064372191068385,-0.013771356503385242,0.38028169014084506,0.15384615384615385
2025-08-29,QQQ,71,-0.004841515315481479,0.0,0.5633802816901409,0.32608695652173914
2025-09-30,QQQ,71,0.005467753879011689,-0.0,0.704225352112676,0.5961538461538461
2024-04-30,SPY,71,0.002473012676545353,-0.0,0.7464788732394366,0.5384615384615384
2024-05-31,SPY,71,-0.0012893095787372786,-0.0,0.676056338028169,0.46511627906976744
2024-06-28,SPY,71,-0.00212954181792828,-0.0,0.647887323943662,0.4318181818181818
2024-07-31,SPY,71,-0.0069117426886244615,0.0,0.6056338028169014,0.40425531914893614
2024-08-30,SPY,71,-0.015508209533792783,-0.003111339129855179,0.49295774647887325,0.14285714285714285
2024-09-30,SPY,71,-0.004072120425964068,-0.0,0.5915492957746479,0.32558139534883723
2024-10-31,SPY,71,-0.0016527213516180773,-0.0,0.6901408450704225,0.5
2024-11-29,SPY,71,-0.00856804643484808,-0.0,0.5352112676056338,0.36538461538461536
2024-12-31,SPY,71,-0.0029211182019001523,-0.0,0.6619718309859155,0.48936170212765956
2025-01-31,SPY,71,-0.0015619097822841739,0.0,0.5915492957746479,0.42
2025-02-28,SPY,71,-0.009160302803231555,-0.0,0.5211267605633803,0.2916666666666667
2025-03-31,SPY,71,-0.00043319333320683974,-0.0,0.6901408450704225,0.5319148936170213
2025-04-30,SPY,71,0.008480420595530199,0.002997795846046444,0.8450704225352113,0.7843137254901961
2025-05-30,SPY,71,0.0059660601007856815,0.0007593988232912595,0.8309859154929577,0.76
2025-06-30,SPY,71,0.00014059509011172158,-0.0002031583400639598,0.5633802816901409,0.44642857142857145
2025-07-31,SPY,71,-0.01637552173627346,-0.012358761426329908,0.38028169014084506,0.13725490196078433
2025-08-29,SPY,71,-0.00816580757037882,-0.00508994621256988,0.4647887323943662,0.3090909090909091
2025-09-30,SPY,71,0.00709932161206809,0.0,0.8028169014084507,0.7254901960784313
