Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
VRRM,2024-04-30,SPY,XLI,MDY,LR,0.575,0.1,0.47998258133400595,0,0.01085133885737273,0.0,SPY,2024-04-30
SNDR,2024-04-30,SPY,XLI,MDY,LR,0.6,0.04,0.5964687016084367,0,0.022977217346608802,0.0,SPY,2024-04-30
CWK,2024-04-30,SPY,XLRE,MDY,RF,0.575,0.06,0.5662908256886557,0,-0.001676110202971769,-0.0,SPY,2024-04-30
CXM,2024-04-30,SPY,XLY,,RF,0.575,0.04,0.5578272541060991,0,0.03445587335691516,0.0,SPY,2024-04-30
NGVT,2024-04-30,SPY,XLB,IJR,RF,0.65,0.06,0.6402712212944282,0,0.006094304792959838,0.0,SPY,2024-04-30
DFIN,2024-04-30,SPY,XLI,MDY,LR,0.6,0.1,0.5477627732023792,0,-0.047292186601840897,-0.0,SPY,2024-04-30
TALO,2024-04-30,SPY,XLE,IJR,LR,0.6,0.1,0.507653271762081,0,0.00022065201233306382,0.0,SPY,2024-04-30
EPRT,2024-04-30,SPY,XLRE,MDY,LR,0.65,0.1,0.5949537611818306,0,0.0015680020819276298,0.0,SPY,2024-04-30
STEP,2024-04-30,SPY,XLF,MDY,LR,0.625,0.04,0.6496548506234006,0,-0.01254556887218008,-0.0,SPY,2024-04-30
NABL,2024-04-30,SPY,XLK,,RF,0.6,0.1,0.5383341465344901,0,0.012904014003474412,0.0,SPY,2024-04-30
FBK,2024-04-30,SPY,XLF,IJR,RF,0.65,0.08,0.6307445478282426,0,0.017491932863811087,0.0,SPY,2024-04-30
EMBC,2024-04-30,SPY,XLV,MDY,RF,0.55,0.06,0.32883762625525437,-1,-0.000845666121140022,-0.00015433387885997805,SPY,2024-04-30
ASIX,2024-04-30,SPY,XLB,IJR,RF,0.65,0.02,0.612574030256363,-1,-0.0001888169730567017,-0.0008111830269432983,SPY,2024-04-30
REZI,2024-04-30,SPY,XLI,MDY,RF,0.625,0.06,0.4458060892923369,-1,-9.256272656297387e-05,-0.0009074372734370261,SPY,2024-04-30
INSW,2024-04-30,SPY,XLE,MDY,LR,0.55,0.04,0.6990401258335847,1,5.476759084264285e-05,-0.0009452324091573571,SPY,2024-04-30
PECO,2024-04-30,SPY,XLRE,,RF,0.65,0.02,0.5146787894648948,-1,0.00048804671351726535,-0.0014880467135172655,SPY,2024-04-30
CARS,2024-04-30,SPY,XLY,MDY,RF,0.65,0.02,0.5820640316468751,-1,0.001145089300053219,-0.002145089300053219,SPY,2024-04-30
DFH,2024-04-30,SPY,XLB,MDY,LR,0.55,0.06,0.2983244644531476,-1,0.0017659992771179725,-0.0027659992771179726,SPY,2024-04-30
MCW,2024-04-30,SPY,XLI,MDY,RF,0.65,0.02,0.5624475505404751,-1,0.003647450579615415,-0.004647450579615416,SPY,2024-04-30
CARG,2024-04-30,SPY,XLY,,RF,0.55,0.02,0.5277429855482955,-1,0.004596611796108804,-0.005596611796108804,SPY,2024-04-30
YOU,2024-04-30,SPY,XLF,MDY,RF,0.625,0.02,0.4556534980524089,-1,0.005793756965880265,-0.006793756965880265,SPY,2024-04-30
HCC,2024-04-30,SPY,XLB,IJR,LR,0.55,0.1,0.7099744052250977,1,-0.007299523462665852,-0.008299523462665853,SPY,2024-04-30
FTDR,2024-04-30,SPY,XLY,MDY,LR,0.55,0.06,0.4670711550875595,-1,0.0077079552127860005,-0.008707955212786,SPY,2024-04-30
PLMR,2024-04-30,SPY,XLF,,RF,0.575,0.1,0.40902424824912714,-1,0.008089657739938836,-0.009089657739938837,SPY,2024-04-30
CERT,2024-04-30,SPY,XLB,MDY,LR,0.6,0.1,0.2100786117231498,-1,0.008973451006917583,-0.009973451006917582,SPY,2024-04-30
SONO,2024-04-30,SPY,XLY,MDY,RF,0.65,0.02,0.4802560113977689,-1,0.009038312128436865,-0.010038312128436866,SPY,2024-04-30
OGN,2024-04-30,SPY,XLV,MDY,LR,0.55,0.02,0.3985881092053464,-1,0.010521789037248246,-0.011521789037248247,SPY,2024-04-30
PGNY,2024-04-30,SPY,XLY,MDY,RF,0.575,0.02,0.4306626694558516,-1,0.01243737639182047,-0.01343737639182047,SPY,2024-04-30
ACA,2024-04-30,SPY,XLI,MDY,RF,0.65,0.1,0.5271374919706439,-1,0.012936196002009232,-0.013936196002009231,SPY,2024-04-30
PENG,2024-04-30,SPY,XLK,,LR,0.625,0.08,0.5374076766039535,-1,0.013873429371098847,-0.014873429371098847,SPY,2024-04-30
INSP,2024-04-30,SPY,XLI,,RF,0.55,0.06,0.417639234705196,-1,0.014113885599305428,-0.015113885599305429,SPY,2024-04-30
AHCO,2024-04-30,SPY,XLB,MDY,LR,0.55,0.04,0.4439480826953906,-1,0.01718912987003191,-0.01818912987003191,SPY,2024-04-30
PTGX,2024-04-30,SPY,XLRE,MDY,RF,0.575,0.08,0.4378560338818122,-1,0.02086821508538708,-0.02186821508538708,SPY,2024-04-30
CRSR,2024-04-30,SPY,XLK,IJR,RF,0.65,0.02,0.5205096389317319,-1,0.022774603424233562,-0.023774603424233563,SPY,2024-04-30
