Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
AMCR,2024-10-31,SPY,XLB,MDY,LR,0.65,0.02,0.4918561702733562,-1,-0.07849137155586183,0.07749137155586183
TSLA,2024-10-31,SPY,XLY,,RF,0.65,0.02,0.4936867200551983,-1,-0.061636430336016915,0.060636430336016914
CMG,2024-10-31,SPY,XLY,,LR,0.55,0.1,0.6560349787575958,1,0.04056971661790289,0.039569716617902886
GDDY,2024-10-31,SPY,XLK,,LR,0.625,0.1,0.511280660617706,-1,-0.02789433725370345,0.026894337253703448
XYL,2024-10-31,SPY,XLI,,RF,0.65,0.1,0.4726912679626261,-1,-0.026970762191352908,0.025970762191352907
APTV,2024-10-31,SPY,XLB,MDY,LR,0.625,0.02,0.5102524018172937,-1,-0.015481449300617043,0.014481449300617042
PSX,2024-10-31,SPY,XLE,MDY,LR,0.625,0.02,0.5350721996928822,-1,-0.012235772004063313,0.011235772004063314
KMI,2024-10-31,SPY,XLE,MDY,RF,0.65,0.06,0.564042579827418,-1,-0.011574494769233524,0.010574494769233524
MPC,2024-10-31,SPY,XLE,MDY,LR,0.6,0.02,0.48865531983126637,-1,-0.011398139020734362,0.010398139020734363
ZTS,2024-10-31,SPY,XLV,,LR,0.65,0.04,0.7135569737098016,1,0.010909397174189973,0.009909397174189972
CDW,2024-10-31,SPY,XLI,,RF,0.65,0.06,0.5559436915810673,-1,-0.007054527059115104,0.006054527059115104
LYV,2024-10-31,SPY,XLF,MDY,LR,0.625,0.06,0.46502556291869845,-1,-0.006949554531969789,0.005949554531969789
LYB,2024-10-31,SPY,XLB,MDY,RF,0.575,0.02,0.5405099351025178,-1,-0.0055088721460316206,0.0045088721460316205
BR,2024-10-31,SPY,XLI,,RF,0.625,0.08,0.48501089974232303,-1,-0.005132594187334251,0.004132594187334251
KDP,2024-10-31,SPY,XLP,,RF,0.65,0.06,0.4777486326314889,-1,-0.004545749081464987,0.0035457490814649866
CPAY,2024-10-31,SPY,XLF,,RF,0.65,0.02,0.5167183517425749,-1,-0.004513332789635196,0.003513332789635196
BX,2024-10-31,SPY,XLI,,RF,0.65,0.02,0.46395069381655124,-1,-0.00445232531218369,0.0034523253121836904
ALLE,2024-10-31,SPY,XLI,MDY,RF,0.625,0.02,0.586519540574896,-1,-0.003547625041790268,0.002547625041790268
GM,2024-10-31,SPY,XLI,MDY,LR,0.6,0.08,0.5078969600227567,-1,-0.0031403003213054466,0.0021403003213054466
PSKY,2024-10-31,SPY,XLC,MDY,RF,0.625,0.08,0.5116597770220833,-1,-0.0031363644452784955,0.0021363644452784955
NXPI,2024-10-31,SPY,XLK,,RF,0.575,0.02,0.553442328361319,-1,-0.0012187082428866108,0.00021870824288661075
NCLH,2024-10-31,SPY,XLY,MDY,RF,0.575,0.1,0.5010197960890246,0,-0.04154808295021289,-0.0
LULU,2024-10-31,SPY,XLY,MDY,RF,0.575,0.1,0.5225148448609411,0,0.05677492392260296,0.0
TMUS,2024-10-31,SPY,XLP,,RF,0.55,0.1,0.5074457413998924,0,-0.0013558713447665927,-0.0
TDG,2024-10-31,SPY,XLI,MDY,LR,0.575,0.1,0.6369967346612156,0,-0.0060432600945789176,-0.0
MA,2024-10-31,SPY,XLF,,LR,0.6,0.1,0.6139882700287841,0,0.012406445672687741,0.0
NWS,2024-10-31,SPY,XLC,MDY,RF,0.6,0.08,0.5316749772877454,0,-0.007798500203374134,-0.0
NWSA,2024-10-31,SPY,XLC,MDY,RF,0.6,0.08,0.526670615793728,0,-0.0065833443762986854,-0.0
PANW,2024-10-31,SPY,XLK,,RF,0.575,0.1,0.524959835705803,0,-0.0026798939355367167,-0.0
PAYC,2024-10-31,SPY,XLI,,RF,0.6,0.1,0.5320211940678243,0,0.009863883787713865,0.0
PM,2024-10-31,SPY,XLP,,LR,0.6,0.1,0.6948070465081226,0,-0.015683635032863148,-0.0
PODD,2024-10-31,SPY,XLY,,LR,0.6,0.08,0.6516492345986578,0,0.010392319668901568,0.0
AVGO,2024-10-31,SPY,XLK,,LR,0.575,0.02,0.5782888931790285,0,-0.030708496177897608,-0.0
PYPL,2024-10-31,SPY,XLY,,LR,0.6,0.04,0.6309616243850268,0,-0.0405565857012665,-0.0
LDOS,2024-10-31,SPY,XLI,,LR,0.575,0.1,0.6109082027274896,0,-0.004138832155577947,-0.0
KHC,2024-10-31,SPY,XLP,,RF,0.6,0.1,0.5168908852738643,0,-0.0006438174263207325,-0.0
KKR,2024-10-31,SPY,XLF,,RF,0.55,0.08,0.5152002424661116,0,-0.014480061991950755,-0.0
APO,2024-10-31,SPY,XLF,,RF,0.55,0.1,0.4980058282517627,0,-0.024542057844196417,-0.0
CFG,2024-10-31,SPY,XLF,MDY,LR,0.6,0.1,0.6036288433760295,0,-0.017735100726408104,-0.0
DAL,2024-10-31,SPY,XLI,MDY,LR,0.6,0.02,0.5923876363224098,0,0.010671059063863716,0.0
VRSK,2024-10-31,SPY,XLP,,RF,0.55,0.08,0.5369673510912006,0,0.0023317289862624553,0.0
EPAM,2024-10-31,SPY,XLY,,RF,0.6,0.1,0.5581122055113763,0,-0.008321384693803687,-0.0
FANG,2024-10-31,SPY,XLE,MDY,RF,0.6,0.06,0.5576134816525916,0,0.0016800499867944034,0.0
HCA,2024-10-31,SPY,XLV,MDY,RF,0.55,0.1,0.5468341167806356,0,-0.014394153011646187,-0.0
ICE,2024-10-31,SPY,XLRE,,LR,0.55,0.06,0.5644527529463601,0,-0.0026355063731877716,-0.0
IQV,2024-10-31,SPY,XLV,,RF,0.575,0.04,0.5495085260508827,0,0.0019388775369637151,0.0
TRGP,2024-10-31,SPY,XLE,MDY,RF,0.55,0.08,0.5931144358841992,0,-0.006780161399208645,-0.0
SYF,2024-10-31,SPY,XLF,MDY,RF,0.6,0.06,0.5462918810267905,0,-0.011777742901344729,-0.0
V,2024-10-31,SPY,XLF,,RF,0.625,0.06,0.5332771175171047,-1,-0.0001151299744148516,-0.0008848700255851484
SW,2024-10-31,SPY,XLB,,RF,0.575,0.1,0.4263145692364777,-1,0.00021578100290042552,-0.0012157810029004255
NOW,2024-10-31,SPY,XLK,,RF,0.6,0.06,0.5299832761362915,-1,0.00037951874734796966,-0.0013795187473479697
HLT,2024-10-31,SPY,XLI,MDY,RF,0.625,0.02,0.5875212625554664,-1,0.0008708424999656558,-0.0018708424999656558
AWK,2024-10-31,SPY,XLU,,LR,0.65,0.04,0.5212276861642765,-1,0.0012788874157639782,-0.002278887415763978
FTNT,2024-10-31,SPY,XLK,,LR,0.55,0.02,0.6581214617439048,1,-0.0021691994869782356,-0.0031691994869782357
ANET,2024-10-31,SPY,XLK,,RF,0.625,0.04,0.5373910886652169,-1,0.0027573112739898552,-0.0037573112739898553
IBKR,2024-10-31,SPY,XLF,,LR,0.6,0.02,0.3438240504439474,-1,0.0029611537181502313,-0.003961153718150231
ULTA,2024-10-31,SPY,XLY,MDY,RF,0.65,0.02,0.4821049319395385,-1,0.004109859197780154,-0.005109859197780154
ABBV,2024-10-31,SPY,XLV,,LR,0.575,0.02,0.7826583160030042,1,-0.006249060834665695,-0.007249060834665695
KEYS,2024-10-31,SPY,XLI,,RF,0.6,0.06,0.5346901184078107,-1,0.007715666955055703,-0.008715666955055703
HII,2024-10-31,SPY,XLI,MDY,RF,0.65,0.1,0.47701424708740736,-1,0.0100695196672171,-0.011069519667217101
GNRC,2024-10-31,SPY,XLI,MDY,RF,0.575,0.02,0.5356628043014413,-1,0.010218051873916676,-0.011218051873916675
MSCI,2024-10-31,SPY,XLB,,RF,0.575,0.02,0.5447024449893535,-1,0.010404171699064248,-0.011404171699064249
TEL,2024-10-31,SPY,XLI,,LR,0.65,0.06,0.4690822041314054,-1,0.010415391817825958,-0.011415391817825957
META,2024-10-31,SPY,XLC,,LR,0.625,0.1,0.8114802027574401,1,-0.011718635138246046,-0.012718635138246046
WDAY,2024-10-31,SPY,XLK,,RF,0.65,0.06,0.5531944084830624,-1,0.01382295735633332,-0.014822957356333322
CBOE,2024-10-31,SPY,XLP,,LR,0.55,0.02,0.7345179041588199,1,-0.013959846264923737,-0.014959846264923738
UAL,2024-10-31,SPY,XLI,MDY,LR,0.65,0.02,0.6175697165998641,-1,0.01728764452593669,-0.018287644525936692
