Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
CNX,2025-06-30,QQQ,XLE,MDY,LR,0.6,0.08,0.4332365297504971,-1,-0.051330162483518474,0.05033016248351847
UGI,2025-06-30,QQQ,XLRE,MDY,LR,0.625,0.1,0.5213252965541454,-1,-0.04344528478288884,0.04244528478288884
ATI,2025-06-30,QQQ,XLI,MDY,LR,0.6,0.04,0.44078522085382765,-1,-0.04191479690790785,0.04091479690790785
VFC,2025-06-30,QQQ,XLB,MDY,RF,0.575,0.04,0.4669910978261151,-1,-0.03238201386070713,0.03138201386070713
FLR,2025-06-30,QQQ,XLI,MDY,LR,0.575,0.02,0.49431746845799723,-1,-0.03021573981847142,0.02921573981847142
AA,2025-06-30,QQQ,XLB,MDY,LR,0.6,0.06,0.47948253449510897,-1,-0.028935790970692453,0.027935790970692452
COHR,2025-06-30,QQQ,XLK,IJR,LR,0.55,0.1,0.4068621859004048,-1,-0.028422861895094312,0.02742286189509431
DAR,2025-06-30,QQQ,XLB,MDY,LR,0.55,0.1,0.279228219446983,-1,-0.026100945714530838,0.025100945714530837
FLEX,2025-06-30,QQQ,XLK,MDY,RF,0.55,0.02,0.44581376730635436,-1,-0.025729553489656384,0.024729553489656383
MTZ,2025-06-30,QQQ,XLI,MDY,LR,0.625,0.02,0.5113242988008511,-1,-0.023966431284464552,0.02296643128446455
MIDD,2025-06-30,QQQ,XLB,MDY,RF,0.6,0.04,0.49549157093955976,-1,-0.022129416784561963,0.021129416784561962
EXEL,2025-06-30,QQQ,XLF,MDY,LR,0.65,0.06,0.43888538655785175,-1,-0.017569469076274425,0.016569469076274424
COKE,2025-06-30,QQQ,XLP,MDY,LR,0.55,0.04,0.7948483846219319,1,0.017081636515392712,0.01608163651539271
RLI,2025-06-30,QQQ,XLF,IJR,RF,0.625,0.06,0.5088331409109805,-1,-0.016844106969334936,0.015844106969334935
VNO,2025-06-30,QQQ,XLRE,MDY,RF,0.6,0.02,0.5779256170634474,-1,-0.01627398175272727,0.015273981752727268
GT,2025-06-30,QQQ,XLB,MDY,LR,0.65,0.02,0.5634208886357512,-1,-0.014572825308294648,0.013572825308294647
CLH,2025-06-30,QQQ,XLI,MDY,RF,0.625,0.06,0.4951425952465878,-1,-0.014510322111228713,0.013510322111228712
NFG,2025-06-30,QQQ,XLU,MDY,LR,0.575,0.08,0.4170670299182446,-1,-0.014462126494424727,0.013462126494424728
SMG,2025-06-30,QQQ,XLB,MDY,LR,0.65,0.02,0.602745020320564,-1,-0.0136285335603901,0.0126285335603901
SBRA,2025-06-30,QQQ,XLRE,MDY,LR,0.55,0.02,0.46844054706756577,-1,-0.01359289339358399,0.01259289339358399
FTI,2025-06-30,QQQ,XLE,MDY,LR,0.575,0.02,0.48124664751912705,-1,-0.013356819308261509,0.012356819308261508
FLS,2025-06-30,QQQ,XLI,MDY,RF,0.575,0.02,0.4768032548547616,-1,-0.013278920050645205,0.012278920050645206
RPM,2025-06-30,QQQ,XLB,MDY,RF,0.625,0.08,0.4935111582707751,-1,-0.011741522361224721,0.01074152236122472
HR,2025-06-30,QQQ,XLRE,MDY,RF,0.6,0.06,0.5038339463018848,-1,-0.011115109816499137,0.010115109816499136
KRG,2025-06-30,QQQ,XLRE,MDY,RF,0.65,0.02,0.6018192507619274,-1,-0.011048728179267065,0.010048728179267066
LNW,2025-06-30,QQQ,XLI,MDY,LR,0.575,0.1,0.45816676958000807,-1,-0.01071203873044681,0.00971203873044681
DLB,2025-06-30,QQQ,XLB,MDY,RF,0.65,0.02,0.4968373564970355,-1,-0.00993508991211513,0.00893508991211513
ARW,2025-06-30,QQQ,XLB,MDY,LR,0.6,0.02,0.535032677697444,-1,-0.009811940986682591,0.00881194098668259
CNO,2025-06-30,QQQ,XLF,MDY,LR,0.65,0.06,0.576469971900629,-1,-0.009604652757705693,0.008604652757705694
FR,2025-06-30,QQQ,XLRE,MDY,RF,0.55,0.02,0.5139003022953643,-1,-0.009539000638905504,0.008539000638905503
KMPR,2025-06-30,QQQ,XLF,MDY,RF,0.6,0.04,0.4873239035490841,-1,-0.008962817438120269,0.00796281743812027
EPR,2025-06-30,QQQ,XLRE,MDY,LR,0.65,0.08,0.5534349669324985,-1,-0.008454060830803535,0.007454060830803535
EGP,2025-06-30,QQQ,XLRE,MDY,RF,0.575,0.02,0.47674177480602026,-1,-0.007942434011933364,0.006942434011933364
SNX,2025-06-30,QQQ,XLI,MDY,LR,0.6,0.04,0.46795587502859465,-1,-0.007879082534253588,0.006879082534253588
MTN,2025-06-30,QQQ,XLB,MDY,RF,0.575,0.02,0.52803369165462,-1,-0.007833645941673854,0.006833645941673854
AFG,2025-06-30,QQQ,XLF,MDY,RF,0.6,0.02,0.49452766465126147,-1,-0.006284604267337075,0.005284604267337075
CGNX,2025-06-30,QQQ,XLI,IJR,RF,0.65,0.08,0.47282537744923353,-1,-0.006250884965083537,0.005250884965083537
OLN,2025-06-30,QQQ,XLB,MDY,LR,0.55,0.02,0.4768442975385083,-1,-0.005485071578206383,0.004485071578206383
CYTK,2025-06-30,QQQ,XLV,IJR,LR,0.65,0.04,0.45859880249026674,-1,-0.005255798431398999,0.004255798431398999
ELS,2025-06-30,QQQ,XLRE,MDY,RF,0.625,0.02,0.5060713926876295,-1,-0.005060138407597683,0.004060138407597683
CIEN,2025-06-30,QQQ,XLK,,LR,0.6,0.02,0.6416889825898625,1,0.004759887320881189,0.0037598873208811888
CASY,2025-06-30,QQQ,XLI,IJR,RF,0.55,0.02,0.4851785705858421,-1,-0.004355383877462001,0.0033553838774620006
SIGI,2025-06-30,QQQ,XLF,IJR,RF,0.625,0.08,0.5063394147892074,-1,-0.0034658738678369537,0.0024658738678369537
AMG,2025-06-30,QQQ,XLF,MDY,RF,0.6,0.04,0.5150978538527502,-1,-0.0030146614248463682,0.002014661424846368
CMC,2025-06-30,QQQ,XLB,MDY,LR,0.55,0.1,0.653094473200372,1,0.002196158664086732,0.001196158664086732
TTEK,2025-06-30,QQQ,XLI,MDY,RF,0.6,0.02,0.5080460786270918,-1,-0.0021019144875830224,0.0011019144875830224
ALK,2025-06-30,QQQ,XLI,MDY,RF,0.6,0.04,0.47823733334942964,-1,-0.0018447965389812235,0.0008447965389812235
FCFS,2025-06-30,QQQ,XLF,MDY,RF,0.55,0.02,0.5243262569148922,-1,-0.0017779356055679409,0.0007779356055679408
BC,2025-06-30,QQQ,XLB,MDY,LR,0.625,0.04,0.5199115441558115,-1,-0.0017499671958344336,0.0007499671958344336
RRX,2025-06-30,QQQ,XLI,MDY,RF,0.625,0.08,0.5207470141089443,-1,-0.0016886830898220524,0.0006886830898220524
FLO,2025-06-30,QQQ,XLP,MDY,RF,0.625,0.06,0.5386026288205757,-1,-0.0013368895896033696,0.00033688958960336954
SCI,2025-06-30,QQQ,XLF,MDY,RF,0.575,0.1,0.5442558622664702,0,0.0034567454754440615,0.0
RS,2025-06-30,QQQ,XLB,MDY,RF,0.575,0.1,0.48192873316322477,0,0.0021976362658925937,0.0
HRB,2025-06-30,QQQ,XLF,,RF,0.575,0.1,0.5067322088400793,0,0.01608670588402681,0.0
HALO,2025-06-30,QQQ,XLV,IJR,LR,0.55,0.1,0.49490880703314266,0,-0.011424185082646242,-0.0
HAE,2025-06-30,QQQ,XLB,MDY,RF,0.55,0.1,0.5001489926061466,0,-0.006461827580284638,-0.0
ITT,2025-06-30,QQQ,XLI,MDY,LR,0.55,0.1,0.4786261316114512,0,0.0008939731279402098,0.0
GPK,2025-06-30,QQQ,XLB,MDY,LR,0.6,0.06,0.6086030270652757,0,0.010848814178160821,0.0
GME,2025-06-30,QQQ,XLY,IJR,LR,0.55,0.1,0.4958325246549571,0,-0.035922446524165194,-0.0
SF,2025-06-30,QQQ,XLF,MDY,RF,0.6,0.1,0.5108119988989571,0,-0.0019799212640292836,-0.0
ILMN,2025-06-30,QQQ,XLY,,LR,0.625,0.08,0.5630719981378284,0,0.03204893793506593,0.0
TXRH,2025-06-30,QQQ,XLY,MDY,LR,0.575,0.1,0.6037128166483343,0,0.0007699003670348526,0.0
JEF,2025-06-30,QQQ,XLF,MDY,LR,0.6,0.08,0.6076521203026689,0,-0.003907209596583066,-0.0
ORI,2025-06-30,QQQ,XLF,MDY,RF,0.55,0.1,0.5316799649940449,0,-0.010092178198533794,-0.0
RRC,2025-06-30,QQQ,XLE,MDY,RF,0.55,0.08,0.5105291733494696,0,-0.055945786289370095,-0.0
RNR,2025-06-30,QQQ,XLF,,RF,0.575,0.1,0.5066437193781937,0,0.004480290628669764,0.0
RMBS,2025-06-30,QQQ,XLK,,RF,0.55,0.1,0.4849593571994224,0,0.029875536388806766,0.0
RGLD,2025-06-30,QQQ,XLB,MDY,RF,0.55,0.06,0.5399934372887052,0,-0.011106172051868158,-0.0
SR,2025-06-30,QQQ,XLU,IJR,LR,0.575,0.1,0.6448297526299863,0,0.0029920426583519176,0.0
PNFP,2025-06-30,QQQ,XLF,IJR,RF,0.55,0.08,0.5306619149677808,0,0.018385446229198184,0.0
PEGA,2025-06-30,QQQ,XLY,,LR,0.55,0.1,0.5658391357588975,0,-0.024238976778110172,-0.0
SSD,2025-06-30,QQQ,XLB,IJR,RF,0.55,0.04,0.5148312994149824,0,0.003201230246718102,0.0
PAG,2025-06-30,QQQ,XLI,MDY,RF,0.6,0.08,0.5237555746497486,0,0.027597862495469673,0.0
SYNA,2025-06-30,QQQ,XLK,,LR,0.55,0.1,0.4600033803461701,0,0.052262496259860465,0.0
OPCH,2025-06-30,QQQ,XLV,MDY,RF,0.55,0.1,0.49666580001218885,0,-0.024590828445749217,-0.0
JLL,2025-06-30,QQQ,XLRE,MDY,LR,0.6,0.04,0.5628356918574158,0,-0.010784663079238902,-0.0
OHI,2025-06-30,QQQ,XLRE,MDY,LR,0.575,0.1,0.5332904421294256,0,-0.005200000015379147,-0.0
THC,2025-06-30,QQQ,XLI,MDY,LR,0.55,0.1,0.5510524393559041,0,-0.0022644553556451386,-0.0
NLY,2025-06-30,QQQ,XLRE,MDY,LR,0.65,0.02,0.6333908289492322,0,-0.0003483561054035342,-0.0
THG,2025-06-30,QQQ,XLF,MDY,RF,0.55,0.08,0.5281232761181657,0,-0.022733212119432234,-0.0
SAIA,2025-06-30,QQQ,XLI,MDY,RF,0.55,0.04,0.5333617410543817,0,0.027858535733284322,0.0
MORN,2025-06-30,QQQ,XLF,,RF,0.575,0.1,0.5238501943835446,0,-0.0057360485354672,-0.0
MLI,2025-06-30,QQQ,XLI,IJR,LR,0.55,0.1,0.5527445201606328,0,0.019512231646294422,0.0
MAT,2025-06-30,QQQ,XLY,MDY,LR,0.55,0.1,0.5443948180911387,0,0.014106286204230491,0.0
