Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
AM,2024-11-29,SPY,XLE,MDY,LR,0.55,0.04,0.47827074533671365,-1,-0.034629151907318814,0.03362915190731881
DTM,2024-11-29,SPY,XLE,MDY,LR,0.55,0.02,0.48222839231353587,-1,-0.03038277310642781,0.02938277310642781
KD,2024-11-29,SPY,XLK,,LR,0.6,0.02,0.34251860168877385,-1,-0.029869930259002704,0.028869930259002703
BILL,2024-11-29,SPY,XLY,,LR,0.575,0.02,0.3543300584825194,-1,-0.022182601754805825,0.021182601754805824
ROIV,2024-11-29,SPY,XLI,,LR,0.6,0.1,0.4075889480654628,-1,-0.01544092824735415,0.01444092824735415
DUOL,2024-11-29,SPY,XLK,,RF,0.575,0.08,0.28287852646775663,-1,-0.015437988648855688,0.014437988648855687
PSTG,2024-11-29,SPY,XLK,,RF,0.6,0.1,0.4706305720488199,-1,-0.014810630533073361,0.01381063053307336
RYAN,2024-11-29,SPY,XLI,,LR,0.55,0.08,0.41449294477951026,-1,-0.014790291442945473,0.013790291442945472
BRBR,2024-11-29,SPY,XLI,,RF,0.65,0.06,0.3428642865626502,-1,-0.009262221317000444,0.008262221317000443
MP,2024-11-29,SPY,XLB,MDY,RF,0.575,0.1,0.4281334979678625,-1,-0.007998376927541045,0.0069983769275410454
HGV,2024-11-29,SPY,XLI,MDY,RF,0.65,0.02,0.46889158986882057,-1,-0.007240678860117223,0.006240678860117223
VVV,2024-11-29,SPY,XLB,MDY,RF,0.65,0.02,0.57500798080889,-1,-0.004832052283890099,0.0038320522838900988
CHWY,2024-11-29,SPY,XLY,,LR,0.55,0.08,0.07673087599319474,-1,-0.003264804224040245,0.002264804224040245
DT,2024-11-29,SPY,XLK,,RF,0.625,0.02,0.4455729839048804,-1,-0.0028002325532064136,0.0018002325532064135
FYBR,2024-11-29,SPY,XLRE,MDY,LR,0.6,0.1,0.35849548161104106,-1,-0.0026998930556259354,0.0016998930556259353
DOCU,2024-11-29,SPY,XLY,,RF,0.575,0.02,0.43079061936474067,-1,-0.001385827360318597,0.00038582736031859705
DOCS,2024-11-29,SPY,XLC,,RF,0.55,0.02,0.4779724004016026,-1,-0.0012285691648289835,0.00022856916482898344
SHC,2024-11-29,SPY,XLB,,RF,0.55,0.04,0.5404961261999509,0,0.004511625564757457,0.0
HIMS,2024-11-29,SPY,XLK,,RF,0.575,0.1,0.5313664337308931,0,-0.06083519364230976,-0.0
ACI,2024-11-29,SPY,XLP,MDY,RF,0.55,0.06,0.534867868160161,0,-0.019568495027727957,-0.0
KNSL,2024-11-29,SPY,XLF,MDY,RF,0.625,0.06,0.5719243351009557,0,-0.00577472244280932,-0.0
NTNX,2024-11-29,SPY,XLK,,LR,0.55,0.06,0.5299845141723952,0,0.0010708640878414662,0.0
OKTA,2024-11-29,SPY,XLK,,RF,0.55,0.1,0.48890722959464705,0,0.03330874475137091,0.0
GXO,2024-11-29,SPY,XLB,MDY,RF,0.55,0.06,0.49212083473522633,0,-0.004465896173860577,-0.0
UA,2024-11-29,SPY,XLB,MDY,LR,0.65,0.06,0.6839039369313926,0,0.04183949073994742,0.0
FOUR,2024-11-29,SPY,XLI,MDY,RF,0.55,0.1,0.45590953540454165,0,0.0029414506288826248,0.0
USFD,2024-11-29,SPY,XLF,MDY,LR,0.65,0.06,0.676161218369527,0,0.0024920897666410335,0.0
WMG,2024-11-29,SPY,XLC,,LR,0.6,0.08,0.5613784466086511,0,-0.015215195173664356,-0.0
BJ,2024-11-29,SPY,XLP,,RF,0.575,0.1,0.5394298705746635,0,-0.011065398628095371,-0.0
PR,2024-11-29,SPY,XLE,IJR,RF,0.6,0.1,0.5213434786178379,0,-0.01215711447489266,-0.0
ELF,2024-11-29,SPY,XLK,,RF,0.65,0.04,0.5307815649223147,-1,0.00011830410917165225,-0.0011183041091716523
PK,2024-11-29,SPY,XLI,MDY,RF,0.6,0.08,0.4622700556249726,-1,0.0002064326641475116,-0.0012064326641475116
FND,2024-11-29,SPY,XLB,MDY,LR,0.65,0.02,0.5254196892079067,-1,0.0006950792549876444,-0.0016950792549876444
EQH,2024-11-29,SPY,XLF,MDY,RF,0.6,0.02,0.4857408862919678,-1,0.0016203536825796228,-0.0026203536825796228
JHG,2024-11-29,SPY,XLF,MDY,RF,0.625,0.02,0.5686821848693593,-1,0.002008836782094622,-0.003008836782094622
AVTR,2024-11-29,SPY,XLV,,LR,0.55,0.06,0.107684167721929,-1,0.0024517718347378216,-0.0034517718347378216
LIVN,2024-11-29,SPY,XLF,MDY,RF,0.575,0.1,0.4611150519921132,-1,0.003373085209593416,-0.004373085209593416
NVT,2024-11-29,SPY,XLI,MDY,RF,0.6,0.06,0.427965722997053,-1,0.0035267094482670912,-0.004526709448267091
NVST,2024-11-29,SPY,XLB,MDY,RF,0.6,0.1,0.44390158159749205,-1,0.004089769836709639,-0.005089769836709639
APG,2024-11-29,SPY,XLI,MDY,RF,0.6,0.04,0.4784830638676108,-1,0.004763815017549274,-0.005763815017549274
CNM,2024-11-29,SPY,XLI,MDY,RF,0.65,0.04,0.40593032178560556,-1,0.0048306298392846395,-0.0058306298392846395
CR,2024-11-29,SPY,XLI,MDY,RF,0.625,0.04,0.567060514843972,-1,0.004943173837336324,-0.005943173837336324
WH,2024-11-29,SPY,XLI,MDY,LR,0.65,0.06,0.5514984243675976,-1,0.004966417481824217,-0.005966417481824217
TWLO,2024-11-29,SPY,XLY,,LR,0.65,0.02,0.48350174533911594,-1,0.005897464929203448,-0.006897464929203448
PSN,2024-11-29,SPY,XLI,MDY,RF,0.55,0.06,0.46423367616501865,-1,0.008513402130175034,-0.009513402130175035
HLNE,2024-11-29,SPY,XLI,MDY,LR,0.65,0.06,0.45455599118492396,-1,0.008615462490127353,-0.009615462490127354
VNT,2024-11-29,SPY,XLI,MDY,LR,0.55,0.02,0.22722803555049023,-1,0.0091025114889101,-0.010102511488910101
MEDP,2024-11-29,SPY,XLV,MDY,LR,0.65,0.04,0.5156668063331711,-1,0.011280421152320787,-0.012280421152320788
CNXC,2024-11-29,SPY,XLB,MDY,RF,0.55,0.02,0.447236005691143,-1,0.015355276152993955,-0.016355276152993956
YETI,2024-11-29,SPY,XLY,MDY,RF,0.65,0.02,0.5322734951610166,-1,0.016484374582480997,-0.017484374582480998
ELAN,2024-11-29,SPY,XLY,MDY,LR,0.575,0.02,0.4057598366506881,-1,0.01656725992623825,-0.01756725992623825
ONTO,2024-11-29,SPY,XLK,,LR,0.575,0.08,0.3423128535698904,-1,0.01899804500491315,-0.019998045004913152
DBX,2024-11-29,SPY,XLK,,RF,0.575,0.1,0.38832189485901025,-1,0.019168527452391625,-0.020168527452391626
ALGM,2024-11-29,SPY,XLK,,RF,0.625,0.02,0.3499518603485578,-1,0.019187489508384836,-0.020187489508384837
VAL,2024-11-29,SPY,XLE,MDY,LR,0.55,0.1,0.4492782961284073,-1,0.019887742055963057,-0.020887742055963058
BHF,2024-11-29,SPY,XLF,MDY,RF,0.625,0.06,0.4990150730166658,-1,0.02162620771333909,-0.02262620771333909
ESAB,2024-11-29,SPY,XLI,MDY,LR,0.55,0.02,0.21375769752183527,-1,0.022099736261353677,-0.023099736261353677
GTM,2024-11-29,SPY,XLY,,RF,0.575,0.02,0.37549121239063893,-1,0.030946881460133382,-0.03194688146013338
WFRD,2024-11-29,SPY,XLE,MDY,RF,0.625,0.04,0.5452912124382402,-1,0.03424127025074711,-0.03524127025074711
NXT,2024-11-29,SPY,XLI,MDY,LR,0.55,0.1,0.4200876664983947,-1,0.04332010506279529,-0.04432010506279529
