Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
KD,2024-11-29,QQQ,XLK,,RF,0.65,0.02,0.44235586906928065,-1,-0.03838578680269077,0.03738578680269077
AM,2024-11-29,QQQ,XLE,MDY,LR,0.575,0.04,0.534907661301267,-1,-0.03711252263357559,0.03611252263357559
UA,2024-11-29,QQQ,XLB,MDY,LR,0.65,0.08,0.7345629891986918,1,0.034718205478851724,0.03371820547885172
BILL,2024-11-29,QQQ,XLY,,RF,0.6,0.08,0.4094113527336728,-1,-0.028519420326245444,0.027519420326245443
PSTG,2024-11-29,QQQ,XLK,,LR,0.625,0.1,0.3829905111559415,-1,-0.027299675667211823,0.026299675667211822
DUOL,2024-11-29,QQQ,XLK,,LR,0.55,0.1,0.3671643651983624,-1,-0.02453657840664317,0.02353657840664317
ROIV,2024-11-29,QQQ,XLI,,RF,0.625,0.1,0.3579802890046977,-1,-0.018755310024751583,0.017755310024751583
HGV,2024-11-29,QQQ,XLI,MDY,RF,0.65,0.06,0.49511706165670316,-1,-0.013077782188057573,0.012077782188057572
MP,2024-11-29,QQQ,XLB,MDY,RF,0.55,0.04,0.4929142861360005,-1,-0.012110491290446928,0.011110491290446927
CHWY,2024-11-29,QQQ,XLY,,LR,0.55,0.1,0.09617085077796933,-1,-0.010843221890807012,0.00984322189080701
BRBR,2024-11-29,QQQ,XLI,,LR,0.6,0.1,0.18789235552697203,-1,-0.010257320955023231,0.00925732095502323
ELF,2024-11-29,QQQ,XLK,,RF,0.6,0.04,0.49114533333617083,-1,-0.0086311076409707,0.007631107640970701
KNSL,2024-11-29,QQQ,XLF,MDY,RF,0.625,0.04,0.5775321513361965,-1,-0.008484952103056977,0.007484952103056977
VVV,2024-11-29,QQQ,XLB,MDY,RF,0.625,0.02,0.5909295338537371,-1,-0.00795747471459036,0.00695747471459036
DOCS,2024-11-29,QQQ,XLC,,LR,0.625,0.04,0.4951374173580162,-1,-0.006483226980015271,0.005483226980015271
NVT,2024-11-29,QQQ,XLI,MDY,RF,0.625,0.08,0.4925929582518993,-1,-0.005067769803361502,0.004067769803361502
EQH,2024-11-29,QQQ,XLF,MDY,RF,0.65,0.08,0.4829760590441006,-1,-0.00347110430450984,0.00247110430450984
FYBR,2024-11-29,QQQ,XLRE,MDY,LR,0.65,0.06,0.32943723419218995,-1,-0.0030357489303276886,0.0020357489303276886
FOUR,2024-11-29,QQQ,XLI,MDY,RF,0.6,0.1,0.411517847680066,-1,-0.0028301071372631784,0.0018301071372631783
JHG,2024-11-29,QQQ,XLF,MDY,RF,0.625,0.02,0.5284405212410007,-1,-0.001683531495175822,0.000683531495175822
APG,2024-11-29,QQQ,XLI,MDY,RF,0.55,0.02,0.462048623364036,-1,-0.0013659351211132965,0.00036593512111329643
AVTR,2024-11-29,QQQ,XLV,,LR,0.575,0.06,0.30543458343144736,-1,-0.0012129870636900441,0.0002129870636900441
CNM,2024-11-29,QQQ,XLI,MDY,RF,0.625,0.02,0.38461953489775297,-1,-0.0012080300335764113,0.0002080300335764113
WH,2024-11-29,QQQ,XLI,MDY,LR,0.65,0.02,0.608372041789482,-1,-0.0010751055858920283,7.510558589202826e-05
PR,2024-11-29,QQQ,XLE,IJR,RF,0.575,0.1,0.5124441088637878,0,-0.014195714872067215,-0.0
HIMS,2024-11-29,QQQ,XLK,,RF,0.575,0.08,0.5562442503188347,0,-0.07709396884578229,-0.0
NTNX,2024-11-29,QQQ,XLK,,LR,0.575,0.06,0.594149229241096,0,-0.009022655521691604,-0.0
