Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
GME,2024-06-28,QQQ,XLY,IJR,LR,0.575,0.1,0.37208084025608884,-1,-0.0582759269948676,0.057275926994867596
COKE,2024-06-28,QQQ,XLP,MDY,LR,0.55,0.06,0.621021188899093,1,0.038911365475110336,0.037911365475110335
SYNA,2024-06-28,QQQ,XLK,,LR,0.55,0.1,0.3816047147566605,-1,-0.03744272399581376,0.03644272399581376
RMBS,2024-06-28,QQQ,XLK,,RF,0.55,0.02,0.45392419167310843,-1,-0.03681655719159689,0.03581655719159689
ANF,2024-06-28,QQQ,XLY,MDY,LR,0.575,0.04,0.6963928001979524,1,0.032265135407319366,0.031265135407319365
MKSI,2024-06-28,QQQ,XLK,,LR,0.625,0.04,0.42463218826422705,-1,-0.03130223981018683,0.03030223981018683
LSCC,2024-06-28,QQQ,XLK,,RF,0.625,0.06,0.5285406463506753,-1,-0.024997145938768048,0.023997145938768047
PCH,2024-06-28,QQQ,XLRE,MDY,RF,0.65,0.02,0.6215652262673401,-1,-0.02488848061141419,0.02388848061141419
CIEN,2024-06-28,QQQ,XLK,,RF,0.65,0.02,0.5211251502959009,-1,-0.02114582095992027,0.02014582095992027
NOVT,2024-06-28,QQQ,XLI,,RF,0.6,0.02,0.5275940198568035,-1,-0.019714016912351272,0.01871401691235127
RYN,2024-06-28,QQQ,XLRE,MDY,RF,0.65,0.02,0.6229174190104773,-1,-0.01878381590563121,0.01778381590563121
AAL,2024-06-28,QQQ,XLY,MDY,LR,0.6,0.02,0.570279132750343,-1,-0.01868786810009645,0.017687868100096447
CRUS,2024-06-28,QQQ,XLK,,LR,0.55,0.06,0.4639947669719163,-1,-0.018625510681297232,0.01762551068129723
NOV,2024-06-28,QQQ,XLE,MDY,RF,0.575,0.04,0.47076007415350124,-1,-0.017966843679912674,0.016966843679912674
OLED,2024-06-28,QQQ,XLK,IJR,LR,0.65,0.02,0.5394721197996184,-1,-0.017728361792444053,0.016728361792444052
GPK,2024-06-28,QQQ,XLB,MDY,LR,0.55,0.02,0.638723965667929,1,0.015994510552608514,0.014994510552608514
FFIN,2024-06-28,QQQ,XLF,IJR,RF,0.575,0.02,0.5145352624453556,-1,-0.015471552202966503,0.014471552202966503
ATI,2024-06-28,QQQ,XLI,MDY,RF,0.625,0.06,0.5540214666806124,-1,-0.015092491202689405,0.014092491202689406
MANH,2024-06-28,QQQ,XLK,,LR,0.6,0.08,0.3997237428135986,-1,-0.014711318327978704,0.013711318327978703
TTEK,2024-06-28,QQQ,XLI,MDY,LR,0.575,0.02,0.547226813136061,-1,-0.01302358670745108,0.01202358670745108
JLL,2024-06-28,QQQ,XLRE,MDY,RF,0.625,0.02,0.5885447813932965,-1,-0.012650766166876026,0.011650766166876027
TXNM,2024-06-28,QQQ,XLU,,LR,0.65,0.04,0.4624258515862376,-1,-0.01263681630564514,0.011636816305645139
HOG,2024-06-28,QQQ,XLB,MDY,LR,0.65,0.06,0.4771959887455651,-1,-0.01168536569607775,0.01068536569607775
RGEN,2024-06-28,QQQ,XLI,,RF,0.625,0.02,0.5135299698014554,-1,-0.011635740762030673,0.010635740762030672
RNR,2024-06-28,QQQ,XLF,,LR,0.575,0.1,0.4681509027722362,-1,-0.011498821433810754,0.010498821433810753
MTZ,2024-06-28,QQQ,XLI,MDY,LR,0.6,0.02,0.45397230740141,-1,-0.010296388568315197,0.009296388568315196
CXT,2024-06-28,QQQ,XLI,MDY,LR,0.55,0.06,0.4145114658804286,-1,-0.009338579929638342,0.00833857992963834
VFC,2024-06-28,QQQ,XLB,MDY,RF,0.65,0.08,0.49358559427168003,-1,-0.008976497943745734,0.007976497943745733
CUZ,2024-06-28,QQQ,XLRE,MDY,LR,0.6,0.04,0.6990380329459538,1,0.00879915214759671,0.00779915214759671
UMBF,2024-06-28,QQQ,XLF,IJR,RF,0.625,0.06,0.5315588018958076,-1,-0.00861733850057081,0.007617338500570809
