Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
WM,2024-05-31,SPY,XLP,,RF,0.575,0.1,0.47391627692229304,-1,-0.04465470586224289,0.04365470586224289
DXCM,2024-05-31,SPY,XLK,,RF,0.575,0.06,0.5062074097978807,-1,-0.03221347290628182,0.03121347290628182
IT,2024-05-31,SPY,XLI,MDY,LR,0.55,0.06,0.6288879591293391,1,0.030946506444841464,0.029946506444841463
DPZ,2024-05-31,SPY,XLB,,LR,0.55,0.02,0.5871115297205616,1,0.030492524408203662,0.02949252440820366
AMD,2024-05-31,SPY,XLK,,RF,0.625,0.06,0.5116910226109469,-1,-0.025897484835448747,0.024897484835448746
ZBH,2024-05-31,SPY,XLV,,LR,0.55,0.06,0.35471077899499565,-1,-0.025698136365451332,0.02469813636545133
TAP,2024-05-31,SPY,XLP,,RF,0.625,0.02,0.5201621114772845,-1,-0.024957957269183442,0.02395795726918344
AES,2024-05-31,SPY,XLU,,LR,0.65,0.02,0.5361526311949119,-1,-0.02379985485415114,0.02279985485415114
STX,2024-05-31,SPY,XLK,,LR,0.6,0.1,0.3575912794924734,-1,-0.023143048083656855,0.022143048083656854
MOH,2024-05-31,SPY,XLV,,RF,0.6,0.02,0.5693768402145801,-1,-0.022044394886617975,0.021044394886617974
VLO,2024-05-31,SPY,XLE,MDY,LR,0.55,0.02,0.5874632695806201,1,0.021985153111019177,0.020985153111019176
GPN,2024-05-31,SPY,XLF,,RF,0.625,0.02,0.5522716662730521,-1,-0.02191462181161244,0.02091462181161244
OMC,2024-05-31,SPY,XLB,,RF,0.6,0.06,0.5128330840307638,-1,-0.021725310367587458,0.020725310367587457
MCHP,2024-05-31,SPY,XLK,,RF,0.575,0.04,0.4659096111415549,-1,-0.02083850873733642,0.01983850873733642
INTC,2024-05-31,SPY,XLK,,LR,0.65,0.08,0.5249117320062678,-1,-0.020563559960870822,0.01956355996087082
FDS,2024-05-31,SPY,XLF,,RF,0.65,0.02,0.5308207543326333,-1,-0.019945185302988916,0.018945185302988915
JBL,2024-05-31,SPY,XLK,,LR,0.575,0.04,0.5171013466267149,-1,-0.01843022590731496,0.01743022590731496
GILD,2024-05-31,SPY,XLV,,LR,0.55,0.08,0.4180603227960438,-1,-0.01812308238247451,0.017123082382474508
CNC,2024-05-31,SPY,XLV,,LR,0.65,0.02,0.5395117695711019,-1,-0.01778559982151428,0.01678559982151428
REG,2024-05-31,SPY,XLRE,MDY,LR,0.65,0.02,0.6824640555606888,1,0.017761708296371893,0.016761708296371892
SWKS,2024-05-31,SPY,XLK,,RF,0.65,0.08,0.4893631864371264,-1,-0.017515495162152776,0.016515495162152775
EQR,2024-05-31,SPY,XLRE,MDY,LR,0.65,0.06,0.7279494778659328,1,0.017306571552865236,0.016306571552865235
MDLZ,2024-05-31,SPY,XLP,,RF,0.6,0.02,0.4956787374124913,-1,-0.017019774886420855,0.016019774886420854
ADBE,2024-05-31,SPY,XLK,,RF,0.6,0.02,0.5269172000007545,-1,-0.016716825210753936,0.015716825210753935
FAST,2024-05-31,SPY,XLI,,LR,0.6,0.02,0.4932451099563526,-1,-0.016370852201439908,0.015370852201439907
