Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
CTVA,2025-09-30,SPY,XLB,MDY,LR,0.6,0.02,0.5085483748643795,-1,-0.08403868943057059,0.08303868943057059
HOOD,2025-09-30,SPY,XLY,,RF,0.55,0.08,0.3957576079065605,-1,-0.04116930632527767,0.04016930632527767
DELL,2025-09-30,SPY,XLK,,LR,0.65,0.02,0.7884750074981418,1,0.03173173277775134,0.03073173277775134
KVUE,2025-09-30,SPY,XLP,MDY,RF,0.65,0.02,0.5577565029943428,-1,-0.02469303609343643,0.02369303609343643
DASH,2025-09-30,SPY,XLY,,RF,0.575,0.02,0.5460370232515418,-1,-0.02052055764786764,0.01952055764786764
FOXA,2025-09-30,SPY,XLF,MDY,LR,0.6,0.1,0.48192970378023586,-1,-0.01588615065361003,0.014886150653610028
UBER,2025-09-30,SPY,XLI,MDY,RF,0.575,0.02,0.4821790729785906,-1,-0.015629773226172226,0.014629773226172225
INVH,2025-09-30,SPY,XLRE,MDY,LR,0.65,0.02,0.5555564840767906,-1,-0.014738617310135803,0.013738617310135804
VLTO,2025-09-30,SPY,XLI,MDY,RF,0.65,0.08,0.5197552115784948,-1,-0.008091289346105026,0.007091289346105026
CARR,2025-09-30,SPY,XLI,MDY,LR,0.65,0.1,0.3995747309362307,-1,-0.008016769377574583,0.007016769377574583
DAY,2025-09-30,SPY,XLY,,LR,0.575,0.04,0.3049153246260563,-1,-0.005586798288648194,0.004586798288648194
MRNA,2025-09-30,SPY,XLV,,RF,0.55,0.02,0.4341804882909177,-1,-0.004984674134633292,0.003984674134633292
ABNB,2025-09-30,SPY,XLY,,LR,0.6,0.1,0.47554979411068343,-1,-0.0027481591799983045,0.0017481591799983045
CRWD,2025-09-30,SPY,XLK,,LR,0.55,0.02,0.316190459563078,-1,-0.0023592430866333156,0.0013592430866333155
XYZ,2025-09-30,SPY,XLY,,LR,0.55,0.1,0.31452308133133294,-1,-0.0022938641444691012,0.0012938641444691012
GEHC,2025-09-30,SPY,XLB,,RF,0.625,0.1,0.5301627908522905,0,0.012854547205488051,0.0
VST,2025-09-30,SPY,XLK,,RF,0.6,0.1,0.5352885872209977,0,0.010252831043575055,0.0
FOX,2025-09-30,SPY,XLF,MDY,LR,0.625,0.1,0.5276993498898453,0,-0.020760182846629234,-0.0
HPE,2025-09-30,SPY,XLK,MDY,LR,0.65,0.02,0.6630323636887355,0,-0.006219251153941742,-0.0
HWM,2025-09-30,SPY,XLI,MDY,LR,0.625,0.06,0.5828254738540757,0,-0.007711645138898194,-0.0
EXE,2025-09-30,SPY,XLE,MDY,RF,0.55,0.1,0.51053753736913,0,0.029535470146218427,0.0
APP,2025-09-30,SPY,XLC,,RF,0.55,0.06,0.5406333077635356,0,-0.007167035762033366,-0.0
PLTR,2025-09-30,SPY,XLY,,RF,0.55,0.1,0.5128280797023034,0,0.005011065517991938,0.0
CEG,2025-09-30,SPY,XLK,,LR,0.6,0.02,0.6072671006708782,0,0.04767332940133812,0.0
COIN,2025-09-30,SPY,XLY,,RF,0.55,0.1,0.4359785166979836,-1,-0.0005952726592516801,-0.0004047273407483199
IR,2025-09-30,SPY,XLI,MDY,LR,0.65,0.06,0.5557924293093176,-1,0.0013730588829612908,-0.002373058882961291
TTD,2025-09-30,SPY,XLY,,LR,0.55,0.08,0.3917821599238064,-1,0.00419076726959723,-0.00519076726959723
LW,2025-09-30,SPY,XLV,MDY,LR,0.65,0.02,0.41089785577525834,-1,0.005634209285161834,-0.006634209285161834
VICI,2025-09-30,SPY,XLRE,MDY,LR,0.65,0.04,0.2989765325109741,-1,0.007537427748914704,-0.008537427748914705
OTIS,2025-09-30,SPY,XLI,MDY,LR,0.55,0.08,0.3027801674448741,-1,0.007579130085892472,-0.008579130085892471
DOW,2025-09-30,SPY,XLB,MDY,RF,0.625,0.1,0.49746701805555865,-1,0.0159463961704037,-0.0169463961704037
FTV,2025-09-30,SPY,XLI,MDY,RF,0.65,0.02,0.5275851430058742,-1,0.016948030719021685,-0.017948030719021686
DDOG,2025-09-30,SPY,XLK,,LR,0.55,0.1,0.32883559310275096,-1,0.05501766841339786,-0.056017668413397864
