Ticker,Trades,MeanNetPnL,MedianNetPnL
MRNA,15,0.014544,0.000708
COIN,12,0.004236,0.0
PLTR,11,0.00293,0.0
EXE,12,0.002451,0.0
GEHC,14,0.000212,0.00144
HWM,8,0.000193,0.0
