Ticker,Trades,MeanNetPnL,MedianNetPnL
GKOS,9,0.011886,0.0
ADMA,10,0.010462,0.0
FRPT,12,0.006084,0.0
CC,17,0.005991,0.000397
ASTH,8,0.005275,0.0
DNOW,12,0.005261,0.00066
TRUP,16,0.004938,0.006415
LMAT,11,0.004645,0.0
ARI,8,0.003297,0.0
EFC,8,0.002417,0.0
ALRM,13,0.00189,0.001729
WSR,8,0.001678,0.0
