Ticker,Trades,MeanNetPnL,MedianNetPnL
ANF,10,0.004996,0.0
SSD,9,0.004192,0.0
CUZ,9,0.004156,-0.0
COKE,18,0.003979,0.006813
UGI,9,0.003888,0.0
MANH,16,0.003652,-0.0
ORI,11,0.00337,0.000437
SCI,15,0.003135,0.0
CGNX,10,0.003061,0.0
FLR,11,0.002466,0.0
BRKR,9,0.001942,-0.0
OGE,15,0.001117,0.000173
