Scenario,BestSuite,IS_MeanSharpe,IS_MedianSharpe,IS_MeanCAGR,IS_MeanMaxDD,IS_NTickers,OOS_N_dates,OOS_MeanNetPnL,OOS_MedianNetPnL,OOS_AvgHit,OOS_AvgNonFlatHit,OOS_EventSharpe,Gate,Status
sp400_long,QQQ,0.2033494644780616,0.2738684896525833,0.0550549100897619,-0.4480567570789237,251,18,-0.0054430264938169,0.0,0.5914121292607349,0.4173105166732033,-0.6068478449314124,SOFT,SOFT
sp400_med,QQQ,0.0840587271783703,0.1266121938774698,0.0228953021450828,-0.400229276236458,86,18,-0.0040680516447425,0.0,0.6343669250645996,0.448363978934444,-0.4698596043856713,FAIL,FAIL
sp400_short,QQQ,0.1689566763191451,0.0435163839119503,0.126434111625421,-0.3846469759585843,64,18,-0.0048459268365252,0.0,0.5825695848885261,0.4298085021766,-0.5085437153327076,FAIL,FAIL
sp500_long,QQQ,0.0792357050246722,0.1118763522738908,0.023811735379585,-0.3562671546614826,396,18,-0.0023663115905861,0.0,0.6203703703703703,0.4776296538092095,-0.4279836004305026,FAIL,FAIL
sp500_med,QQQ,-0.0658354177351505,-0.0437530190535747,-0.0331140111131995,-0.3709059995309851,71,18,-0.0020229442433145,0.0,0.6549295774647886,0.4533682750602901,-0.3877222637272384,FAIL,FAIL
sp500_short,QQQ,0.3711327282288245,0.1472977403827028,0.1506058215241083,-0.3241635272818405,35,18,-0.0034337822250221,0.0,0.5996541354404257,0.4460587880749858,-0.3895559649609971,SOFT,SOFT
sp600_long,QQQ,0.2654635806909574,0.288310803087528,0.0647822073854624,-0.4567420907623098,349,18,-0.0068650442914062,0.0,0.5850047755491882,0.3952678067968027,-0.6536022983355387,SOFT,SOFT
sp600_med,QQQ,0.3425552678916404,0.4413565501661126,0.139292572061335,-0.3786603902966716,143,18,-0.0047238742413886,0.0,0.6188811188811189,0.43221929585437,-0.5351303507865519,SOFT,SOFT
sp600_short,QQQ,0.3574102000851907,0.2653315074766363,0.2170037081276449,-0.3724909923746486,101,18,-0.0054459460468218,0.0,0.566330552056419,0.4246019002066679,-0.5197969511636198,SOFT,SOFT
