Ticker,Trades,MeanNetPnL,MedianNetPnL
FTRE,9,0.032821,0.043426
HCC,13,0.018322,0.006302
NABL,15,0.011421,0.0
MIR,16,0.007894,0.004201
GDYN,13,0.006748,0.000398
CARG,14,0.005091,0.003077
AMR,11,0.003563,-0.0
GO,13,0.003344,0.0
OGN,13,0.00304,0.0
DOCN,16,0.003036,0.006736
KRYS,10,0.002936,0.0
BL,11,0.002146,-0.0
