Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
COKE,2024-07-31,SPY,XLP,MDY,LR,0.55,0.04,0.7488212270754172,1,0.0741249106088476,0.0731249106088476
TXRH,2024-07-31,SPY,XLY,MDY,LR,0.575,0.04,0.7018684432324681,1,0.040526495954473066,0.039526495954473065
ILMN,2024-07-31,SPY,XLY,,LR,0.6,0.02,0.6218050040708181,1,0.02887871383598104,0.02787871383598104
SCI,2024-07-31,SPY,XLF,MDY,RF,0.6,0.02,0.5245338353879367,-1,-0.023861800113954678,0.022861800113954677
PEGA,2024-07-31,SPY,XLY,,LR,0.65,0.04,0.6009326411082876,-1,-0.023112384267077526,0.022112384267077526
KRC,2024-07-31,SPY,XLRE,MDY,LR,0.65,0.1,0.4674230606608844,-1,-0.02084853136887057,0.01984853136887057
PCH,2024-07-31,SPY,XLRE,MDY,RF,0.65,0.06,0.5097734713530553,-1,-0.018885439313750675,0.017885439313750674
WPC,2024-07-31,SPY,XLRE,MDY,RF,0.65,0.02,0.5366882267426615,-1,-0.016333390855149184,0.015333390855149183
SAM,2024-07-31,SPY,XLP,,LR,0.575,0.02,0.5326028894355026,-1,-0.013238850733482316,0.012238850733482316
PRGO,2024-07-31,SPY,XLV,,LR,0.575,0.04,0.4472327670723379,-1,-0.01193458234674737,0.010934582346747369
FLG,2024-07-31,SPY,XLF,MDY,RF,0.65,0.04,0.4822431187587269,-1,-0.009996352030590523,0.008996352030590522
CUBE,2024-07-31,SPY,XLRE,MDY,LR,0.625,0.1,0.753487697034894,1,0.009883321678218634,0.008883321678218634
WTRG,2024-07-31,SPY,XLU,,RF,0.625,0.06,0.5558965456382609,-1,-0.008258942800485634,0.007258942800485634
NSP,2024-07-31,SPY,XLI,MDY,RF,0.6,0.04,0.5017764475832619,-1,-0.008244893860864331,0.007244893860864331
MAT,2024-07-31,SPY,XLY,MDY,LR,0.575,0.02,0.6581683650508472,1,0.006406274756613839,0.005406274756613839
SLM,2024-07-31,SPY,XLF,,LR,0.625,0.06,0.36332963621864384,-1,-0.005510361614141871,0.004510361614141871
FLEX,2024-07-31,SPY,XLK,MDY,LR,0.55,0.04,0.44382123245485067,-1,-0.004887513749350866,0.0038875137493508656
CCK,2024-07-31,SPY,XLB,,RF,0.575,0.02,0.5339497593923749,-1,-0.004881316673353637,0.003881316673353637
NOVT,2024-07-31,SPY,XLI,,RF,0.625,0.04,0.5086360261958633,-1,-0.004819691134531887,0.0038196911345318866
INGR,2024-07-31,SPY,XLP,MDY,LR,0.65,0.02,0.49694014988661606,-1,-0.0036659953206428213,0.0026659953206428213
BIO,2024-07-31,SPY,XLV,,RF,0.625,0.06,0.46463799571173015,-1,-0.0035627881502097274,0.0025627881502097273
FCN,2024-07-31,SPY,XLV,,LR,0.55,0.04,0.5923451160698437,1,0.003490388987762924,0.002490388987762924
TXNM,2024-07-31,SPY,XLU,,RF,0.65,0.1,0.47142711751657485,-1,-0.0026685576466686668,0.0016685576466686667
GHC,2024-07-31,SPY,XLF,MDY,RF,0.625,0.06,0.5506309893896938,-1,-0.002174340522581031,0.0011743405225810308
SR,2024-07-31,SPY,XLU,IJR,RF,0.6,0.02,0.49686824109341055,-1,-0.0020449401601545653,0.0010449401601545652
SYNA,2024-07-31,SPY,XLK,,LR,0.575,0.08,0.4505076700079122,-1,-0.0016912364442176545,0.0006912364442176544
HR,2024-07-31,SPY,XLRE,MDY,LR,0.65,0.1,0.5173721828639871,-1,-0.0016659682061312391,0.0006659682061312391
CLF,2024-07-31,SPY,XLB,MDY,LR,0.55,0.06,0.402940778673234,-1,-0.0014042206380069228,0.00040422063800692274
DLB,2024-07-31,SPY,XLB,MDY,LR,0.65,0.04,0.5627298994903436,-1,-0.0013505442532378547,0.0003505442532378547
SF,2024-07-31,SPY,XLF,MDY,LR,0.625,0.02,0.6123289544800522,0,-0.002909690918428808,-0.0
GT,2024-07-31,SPY,XLB,MDY,LR,0.625,0.02,0.6091899602121621,0,-0.09815775199945245,-0.0
RGLD,2024-07-31,SPY,XLB,MDY,RF,0.6,0.1,0.5879742891929233,0,0.020238600413963834,0.0
EPR,2024-07-31,SPY,XLRE,MDY,RF,0.575,0.06,0.6300556547308986,0,0.013400893265480301,0.0
SLGN,2024-07-31,SPY,XLB,MDY,LR,0.575,0.08,0.6298375085986401,0,0.04073341009086706,0.0
SIGI,2024-07-31,SPY,XLF,IJR,RF,0.55,0.1,0.5372319461102801,0,0.03025309994051246,0.0
RBC,2024-07-31,SPY,XLI,MDY,LR,0.575,0.04,0.5449629337660395,0,0.04986289131002658,0.0
FR,2024-07-31,SPY,XLRE,MDY,RF,0.6,0.08,0.5419761784656807,0,0.0042015620396748145,0.0
RS,2024-07-31,SPY,XLB,MDY,LR,0.55,0.1,0.5280209444927372,0,0.0031966233088494903,0.0
FHI,2024-07-31,SPY,XLF,MDY,RF,0.55,0.08,0.5205735393626797,0,0.001075847805458545,0.0
SAIA,2024-07-31,SPY,XLI,MDY,LR,0.55,0.08,0.5931977073737842,0,-0.027207290128278785,-0.0
FIX,2024-07-31,SPY,XLI,IJR,RF,0.55,0.1,0.49236836778834436,0,0.10715890195782814,0.0
FTI,2024-07-31,SPY,XLE,MDY,LR,0.55,0.1,0.48137328000750684,0,0.027911277305703478,0.0
FLO,2024-07-31,SPY,XLP,MDY,RF,0.55,0.1,0.5071236346342003,0,0.0014161558234081816,0.0
RNR,2024-07-31,SPY,XLF,,RF,0.55,0.1,0.5508593814080334,0,0.015108924309485069,0.0
PPC,2024-07-31,SPY,XLP,,LR,0.6,0.08,0.5770082841423869,0,0.02136059410838306,0.0
HRB,2024-07-31,SPY,XLF,,RF,0.55,0.1,0.5018254857157113,0,-0.00012806360269587008,-0.0
ORA,2024-07-31,SPY,XLU,MDY,LR,0.6,0.08,0.5452996336479413,0,0.004597254804843184,0.0
NNN,2024-07-31,SPY,XLRE,MDY,RF,0.6,0.1,0.556904908505851,0,0.01820166852808662,0.0
NLY,2024-07-31,SPY,XLRE,MDY,RF,0.575,0.06,0.5302814013748134,0,0.012867112348674192,0.0
MZTI,2024-07-31,SPY,XLP,MDY,LR,0.6,0.04,0.5921468508352316,0,0.0018416150128043231,0.0
MUR,2024-07-31,SPY,XLE,MDY,RF,0.55,0.06,0.4957366200437361,0,0.016090753992194843,0.0
OHI,2024-07-31,SPY,XLRE,MDY,RF,0.55,0.1,0.5375136249858556,0,0.012006602390579052,0.0
OLED,2024-07-31,SPY,XLK,IJR,LR,0.65,0.02,0.6334660003951715,0,0.04476552431641563,0.0
ONB,2024-07-31,SPY,XLF,IJR,LR,0.55,0.08,0.5010975370193584,0,0.020891819416758654,0.0
MORN,2024-07-31,SPY,XLF,,RF,0.55,0.06,0.5204019745419547,0,0.007008844146422691,0.0
MLI,2024-07-31,SPY,XLI,IJR,RF,0.575,0.1,0.49236636152585,0,0.042171062073946206,0.0
MKSI,2024-07-31,SPY,XLK,,LR,0.575,0.02,0.5601094766786197,0,0.022893744881733367,0.0
OPCH,2024-07-31,SPY,XLV,MDY,RF,0.55,0.1,0.46654031489281145,0,0.03470011760356068,0.0
M,2024-07-31,SPY,XLI,MDY,RF,0.575,0.1,0.5265358107633576,0,0.003435828437533591,0.0
LSCC,2024-07-31,SPY,XLK,,RF,0.625,0.08,0.5506494891245409,0,0.01246135578199109,0.0
RBA,2024-07-31,SPY,XLI,,RF,0.6,0.1,0.5824037603340294,0,-0.016431776723288275,-0.0
LPX,2024-07-31,SPY,XLB,MDY,LR,0.55,0.08,0.5905507030951385,0,0.0180413267472714,0.0
LNW,2024-07-31,SPY,XLI,MDY,LR,0.55,0.1,0.4870675750752677,0,0.026080752765730637,0.0
ORI,2024-07-31,SPY,XLF,MDY,RF,0.65,0.1,0.5652755519330738,0,0.028216391108746505,0.0
LECO,2024-07-31,SPY,XLI,MDY,LR,0.625,0.08,0.5479765384841992,0,0.04425902182877041,0.0
OSK,2024-07-31,SPY,XLI,MDY,LR,0.575,0.1,0.5425391265145012,0,0.03321349213460564,0.0
KRG,2024-07-31,SPY,XLRE,MDY,LR,0.575,0.06,0.528649406283284,0,0.0047573719109577015,0.0
KMPR,2024-07-31,SPY,XLF,MDY,LR,0.575,0.1,0.5471493576703671,0,0.027905381245114047,0.0
KEX,2024-07-31,SPY,XLI,MDY,RF,0.575,0.1,0.5012534571031521,0,0.007278340106693072,0.0
JLL,2024-07-31,SPY,XLRE,MDY,LR,0.625,0.02,0.634323198506432,0,0.015069443094368163,0.0
JEF,2024-07-31,SPY,XLF,MDY,LR,0.65,0.08,0.6013462264098222,0,0.02422182875673085,0.0
ENS,2024-07-31,SPY,XLI,MDY,LR,0.55,0.1,0.4908851533093467,0,0.0038333353596166388,0.0
IBOC,2024-07-31,SPY,XLF,IJR,LR,0.575,0.1,0.5480349678151927,0,0.006354593261841346,0.0
ENTG,2024-07-31,SPY,XLK,,LR,0.575,0.06,0.5238865469364191,0,0.010205872585825844,0.0
AA,2024-07-31,SPY,XLB,MDY,LR,0.55,0.08,0.48167472710633547,0,-0.006967983258624407,-0.0
ELS,2024-07-31,SPY,XLRE,MDY,RF,0.55,0.08,0.5066176674685426,0,0.01805023657666419,0.0
UNM,2024-07-31,SPY,XLF,,LR,0.55,0.1,0.4774185717609537,0,0.0014131332886011174,0.0
CHE,2024-07-31,SPY,XLV,IJR,LR,0.65,0.1,0.6483979165690068,0,0.02738632963308324,0.0
CGNX,2024-07-31,SPY,XLI,IJR,LR,0.55,0.1,0.46652289371026867,0,-0.10571051254009739,-0.0
CASY,2024-07-31,SPY,XLI,IJR,RF,0.55,0.1,0.5428644326576388,0,0.055014248981427566,0.0
CADE,2024-07-31,SPY,XLF,IJR,LR,0.625,0.04,0.6150667191974357,0,0.019337208367273522,0.0
TTC,2024-07-31,SPY,XLI,MDY,RF,0.55,0.1,0.5017120741345918,0,0.015145964773559097,0.0
TTEK,2024-07-31,SPY,XLI,MDY,RF,0.55,0.1,0.4971566475768966,0,0.11425433129356537,0.0
