Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
HI,2024-04-30,SPY,XLI,IJR,RF,0.65,0.1,0.5290362046273023,-1,-0.12867029478094896,0.12767029478094896,SPY,2024-04-30
MXL,2024-04-30,SPY,XLK,,RF,0.55,0.02,0.48389953865135027,-1,-0.07087252580448743,0.06987252580448743,SPY,2024-04-30
SXC,2024-04-30,SPY,XLB,IJR,LR,0.65,0.08,0.4130971474597477,-1,-0.04975854219405113,0.04875854219405113,SPY,2024-04-30
ARI,2024-04-30,SPY,XLRE,MDY,LR,0.6,0.02,0.6616534645148733,1,0.04043900716790263,0.03943900716790263,SPY,2024-04-30
ENPH,2024-04-30,SPY,XLB,MDY,RF,0.575,0.02,0.48895007881813063,-1,-0.03823292480327923,0.03723292480327923,SPY,2024-04-30
BLMN,2024-04-30,SPY,XLB,MDY,LR,0.6,0.08,0.4809213985861925,-1,-0.030749677440485606,0.029749677440485605,SPY,2024-04-30
CC,2024-04-30,SPY,XLB,MDY,RF,0.625,0.02,0.5931007813583011,-1,-0.030272808788071984,0.029272808788071984,SPY,2024-04-30
SBH,2024-04-30,SPY,XLB,MDY,RF,0.625,0.08,0.4876914106785164,-1,-0.0267673247584165,0.025767324758416497,SPY,2024-04-30
ADMA,2024-04-30,SPY,XLC,MDY,LR,0.575,0.08,0.6905383283412364,1,0.019573031290769517,0.018573031290769516,SPY,2024-04-30
AOSL,2024-04-30,SPY,XLK,MDY,LR,0.575,0.1,0.33671838122810327,-1,-0.019502938487200222,0.01850293848720022,SPY,2024-04-30
RUN,2024-04-30,SPY,XLRE,MDY,RF,0.65,0.02,0.5848859061737763,-1,-0.019488912008909252,0.01848891200890925,SPY,2024-04-30
CWEN-A,2024-04-30,SPY,XLU,MDY,LR,0.625,0.02,0.33479206871521805,-1,-0.01745639585669539,0.01645639585669539,SPY,2024-04-30
CWEN,2024-04-30,SPY,XLU,MDY,RF,0.625,0.06,0.5454084976937732,-1,-0.016662150356889553,0.015662150356889552,SPY,2024-04-30
SEDG,2024-04-30,SPY,XLB,MDY,RF,0.65,0.02,0.5834295657101549,-1,-0.015360623504813854,0.014360623504813853,SPY,2024-04-30
VTLE,2024-04-30,SPY,XLE,MDY,LR,0.625,0.04,0.5822792683986855,-1,-0.012049934140231198,0.011049934140231199,SPY,2024-04-30
DEA,2024-04-30,SPY,XLRE,MDY,RF,0.6,0.02,0.513405412446833,-1,-0.011374486842571547,0.010374486842571546,SPY,2024-04-30
LPG,2024-04-30,SPY,XLE,MDY,LR,0.6,0.02,0.7554214324243592,1,0.011179646950177504,0.010179646950177503,SPY,2024-04-30
SEM,2024-04-30,SPY,XLI,MDY,LR,0.65,0.02,0.4681848338214801,-1,-0.010228753181341541,0.009228753181341542,SPY,2024-04-30
AHH,2024-04-30,SPY,XLRE,MDY,LR,0.575,0.02,0.5985925069373355,1,0.008914224439393902,0.0079142244393939,SPY,2024-04-30
