Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
ADMA,2024-10-31,SPY,XLC,MDY,LR,0.625,0.08,0.8071663790069492,1,0.1633780709998621,0.1623780709998621
MARA,2024-10-31,SPY,XLY,,LR,0.55,0.08,0.35491997575126444,-1,-0.08327472765264997,0.08227472765264997
FOXF,2024-10-31,SPY,XLI,MDY,LR,0.65,0.02,0.4922951289969631,-1,-0.06928021614355058,0.06828021614355058
QNST,2024-10-31,SPY,XLF,MDY,RF,0.625,0.02,0.5168446580316517,-1,-0.06283563725639489,0.06183563725639489
NMIH,2024-10-31,SPY,XLF,MDY,RF,0.65,0.06,0.587373509802351,-1,-0.054763227474560965,0.053763227474560964
SXC,2024-10-31,SPY,XLB,IJR,RF,0.6,0.02,0.42860311401279794,-1,-0.045629316995172045,0.044629316995172044
ALGT,2024-10-31,SPY,XLI,MDY,LR,0.575,0.02,0.47240653454270115,-1,-0.04039866916360266,0.039398669163602656
VTLE,2024-10-31,SPY,XLE,MDY,RF,0.6,0.08,0.5051842331551054,-1,-0.035888215231851074,0.03488821523185107
ANGI,2024-10-31,SPY,XLY,,LR,0.6,0.06,0.41205808535562743,-1,-0.03070785220857993,0.029707852208579928
SABR,2024-10-31,SPY,XLI,MDY,RF,0.625,0.04,0.4943899260025256,-1,-0.02640392785318421,0.02540392785318421
BLMN,2024-10-31,SPY,XLB,MDY,RF,0.65,0.02,0.5990034261623236,-1,-0.025014847460466685,0.024014847460466685
HCI,2024-10-31,SPY,XLF,MDY,RF,0.65,0.1,0.5112585259317454,-1,-0.02415048188602809,0.023150481886028088
CC,2024-10-31,SPY,XLB,MDY,RF,0.6,0.04,0.5115221653292856,-1,-0.023574896424599145,0.022574896424599145
TFIN,2024-10-31,SPY,XLF,IJR,RF,0.625,0.02,0.5476979175354171,-1,-0.022926317764617735,0.021926317764617734
TRUP,2024-10-31,SPY,XLY,MDY,LR,0.575,0.08,0.4800669773312084,-1,-0.02225511353125952,0.021255113531259518
PEB,2024-10-31,SPY,XLI,MDY,LR,0.65,0.08,0.4183462137389041,-1,-0.022006796755899435,0.021006796755899435
CALX,2024-10-31,SPY,XLY,MDY,RF,0.65,0.1,0.5218811227724468,-1,-0.020872667228047558,0.019872667228047557
GKOS,2024-10-31,SPY,XLY,,RF,0.575,0.1,0.4561437153527874,-1,-0.019909054260708645,0.018909054260708644
RC,2024-10-31,SPY,XLB,MDY,RF,0.625,0.06,0.5083063888470098,-1,-0.017674285998446733,0.016674285998446732
NBHC,2024-10-31,SPY,XLF,IJR,RF,0.65,0.06,0.563885942669387,-1,-0.0167332374812324,0.0157332374812324
TRIP,2024-10-31,SPY,XLY,MDY,RF,0.65,0.02,0.5002092807776566,-1,-0.01605587670389684,0.01505587670389684
DNOW,2024-10-31,SPY,XLE,IJR,LR,0.6,0.1,0.4645411275770427,-1,-0.015166261150662221,0.014166261150662222
VTOL,2024-10-31,SPY,XLE,IJR,RF,0.6,0.02,0.4771104504751903,-1,-0.014415359730282708,0.013415359730282708
BKU,2024-10-31,SPY,XLF,IJR,RF,0.625,0.02,0.49143942675425883,-1,-0.013655202501090563,0.012655202501090562
XNCR,2024-10-31,SPY,XLV,MDY,LR,0.65,0.08,0.5366138429490787,-1,-0.012880879734967505,0.011880879734967504
